Date,KOSPI_Now,filter_smo,wrapper_smo,filter_linear,wrapper_linear,filter_mlp,wrapper_mlp,filter_gaussian,wrapper_gaussian
2013.12.31,2011.34,        745      -2.1951       0.3191       2.5142,        745      -2.1951      -0.1612       2.0338,        745      -2.1951       0.2155       2.4105,        745      -2.1951       0.2414       2.4365,        745      -2.1951       0.3873       2.5823,        745      -2.1951       0.8135       3.0086,        745      -2.1951      -0.0649       2.1302,        745      -2.1951       0.0443       2.2394
2014.1.2,1967.19,        746      -1.0701      -1.0637       0.0063,        746      -1.0701      -0.5874       0.4827,        746      -1.0701      -1.1721       -0.102,        746      -1.0701      -1.2062      -0.1362,        746      -1.0701      -5.1524      -4.0823,        746      -1.0701      -1.3645      -0.2944,        746      -1.0701      -0.8692       0.2009,        746      -1.0701      -0.6631       0.4069
2014.1.3,1946.14,        747       0.3669       -0.692      -1.0589,        747       0.3669      -0.3805      -0.7473,        747       0.3669      -0.4793      -0.8461,        747       0.3669      -0.6688      -1.0357,        747       0.3669       1.2449        0.878,        747       0.3669      -0.0023      -0.3692,        747       0.3669      -0.2916      -0.6585,        747       0.3669      -0.4782      -0.8451
2014.1.6,1953.28,        748       0.3154      -0.4165      -0.7319,        748       0.3154      -0.4645      -0.7799,        748       0.3154      -0.3267      -0.6421,        748       0.3154      -0.4462      -0.7616,        748       0.3154       0.3112      -0.0042,        748       0.3154      -0.3688      -0.6841,        748       0.3154      -0.0928      -0.4081,        748       0.3154      -0.2779      -0.5933
2014.1.7,1959.44,        749      -0.0245       0.8528       0.8773,        749      -0.0245       0.4168       0.4413,        749      -0.0245       0.3195        0.344,        749      -0.0245       0.0317       0.0562,        749      -0.0245        2.477       2.5015,        749      -0.0245       0.5671       0.5915,        749      -0.0245       0.1877       0.2122,        749      -0.0245       0.1691       0.1936
2014.1.8,1958.96,        750       -0.656      -0.5593       0.0966,        750       -0.656      -0.5579       0.0981,        750       -0.656      -0.4279       0.2281,        750       -0.656      -0.5299        0.126,        750       -0.656      -0.0175       0.6384,        750       -0.656       0.1221        0.778,        750       -0.656      -0.1406       0.5154,        750       -0.656      -0.1578       0.4981
2014.1.9,1946.11,        751       -0.389       0.4089       0.7979,        751       -0.389       0.2493       0.6382,        751       -0.389        0.252        0.641,        751       -0.389       0.0088       0.3978,        751       -0.389       0.4437       0.8327,        751       -0.389       0.1341       0.5231,        751       -0.389        0.079        0.468,        751       -0.389       0.0561       0.4451
2014.1.10,1938.54,        752       0.5355       1.1428       0.6073,        752       0.5355      -1.3879      -1.9233,        752       0.5355         0.98       0.4446,        752       0.5355       0.5799       0.0445,        752       0.5355      -0.2685       -0.804,        752       0.5355       0.3645      -0.1709,        752       0.5355       0.4414       -0.094,        752       0.5355       0.3404      -0.1951
2014.1.13,1948.92,        753      -0.1462      -1.0051      -0.8589,        753      -0.1462       0.3455       0.4917,        753      -0.1462      -1.0413       -0.895,        753      -0.1462      -0.0617       0.0846,        753      -0.1462        1.286       1.4322,        753      -0.1462       0.1386       0.2848,        753      -0.1462      -0.1951      -0.0489,        753      -0.1462       -0.149      -0.0027
2014.1.14,1946.07,        754       0.3705       0.8044       0.4339,        754       0.3705       0.3612      -0.0093,        754       0.3705        1.303       0.9325,        754       0.3705       0.6078       0.2373,        754       0.3705       2.1431       1.7726,        754       0.3705       0.6133       0.2428,        754       0.3705       0.5004       0.1299,        754       0.3705        0.264      -0.1065
2014.1.15,1953.28,        755       0.2068        0.277       0.0701,        755       0.2068      -0.3056      -0.5124,        755       0.2068         0.21       0.0032,        755       0.2068       -0.363      -0.5698,        755       0.2068        1.168       0.9612,        755       0.2068      -0.2111       -0.418,        755       0.2068       0.2332       0.0263,        755       0.2068       0.1324      -0.0745
2014.1.16,1957.32,        756       -0.656      -0.5068       0.1492,        756       -0.656      -0.1819       0.4741,        756       -0.656      -0.2937       0.3623,        756       -0.656       0.0559       0.7119,        756       -0.656        0.112        0.768,        756       -0.656       0.0204       0.6764,        756       -0.656       -0.157        0.499,        756       -0.656      -0.3049       0.3511
2014.1.17,1944.48,        757       0.4783       0.2398      -0.2385,        757       0.4783      -0.4034      -0.8817,        757       0.4783      -0.0342      -0.5125,        757       0.4783      -0.6053      -1.0836,        757       0.4783       0.3406      -0.1377,        757       0.4783      -0.2261      -0.7043,        757       0.4783      -0.2117      -0.6899,        757       0.4783       -0.338      -0.8163
2014.1.20,1953.78,        758       0.5175       0.2435      -0.2739,        758       0.5175       0.2112      -0.3063,        758       0.5175       0.3043      -0.2132,        758       0.5175       0.2606      -0.2569,        758       0.5175         0.55       0.0325,        758       0.5175       0.7393       0.2219,        758       0.5175       0.1169      -0.4005,        758       0.5175       0.2361      -0.2814
2014.1.21,1963.89,        759       0.3325      -0.0162      -0.3487,        759       0.3325       0.7204       0.3879,        759       0.3325      -0.0856      -0.4181,        759       0.3325       0.5771       0.2446,        759       0.3325        1.484       1.1515,        759       0.3325       0.5344       0.2019,        759       0.3325      -0.1815       -0.514,        759       0.3325      -0.0368      -0.3693
2014.1.22,1970.42,        760      -1.1586      -0.7911       0.3675,        760      -1.1586      -1.3812      -0.2225,        760      -1.1586      -0.7512       0.4074,        760      -1.1586       -1.613      -0.4543,        760      -1.1586      -1.7307       -0.572,        760      -1.1586      -2.9847       -1.826,        760      -1.1586      -0.3412       0.8174,        760      -1.1586      -0.5302       0.6284
2014.1.23,1947.59,        761       -0.361      -0.5587      -0.1978,        761       -0.361      -0.7208      -0.3599,        761       -0.361      -0.8818      -0.5209,        761       -0.361      -1.0996      -0.7387,        761       -0.361      -1.3898      -1.0289,        761       -0.361      -1.4723      -1.1114,        761       -0.361      -0.9952      -0.6343,        761       -0.361      -1.1301      -0.7691
