Date,KOSPI_Now,filter_smo,wrapper_smo,filter_linear,wrapper_linear,filter_mlp,wrapper_mlp,filter_gaussian,wrapper_gaussian
2017.12.28,2467.49,        738       0.4928       0.2771      -0.2157,        738       0.4928      -0.2511      -0.7439,        738       0.4928       0.0437      -0.4491,        738       0.4928      -0.3652       -0.858,        738       0.4928      -1.8536      -2.3464,        738       0.4928      -0.8921      -1.3849,        738       0.4928      -0.0532       -0.546,        738       0.4928       0.0977      -0.3951
2018.1.2,2479.65,        739       0.2702       -0.046      -0.3162,        739       0.2702      -0.0989      -0.3691,        739       0.2702      -0.1302      -0.4004,        739       0.2702       0.0527      -0.2175,        739       0.2702      -0.4065      -0.6767,        739       0.2702      -0.4935      -0.7637,        739       0.2702       0.1789      -0.0913,        739       0.2702       0.1492       -0.121
2018.1.3,2486.35,        740         -0.8       0.1786       0.9785,        740         -0.8       0.5215       1.3214,        740         -0.8       0.4865       1.2865,        740         -0.8        0.362       1.1619,        740         -0.8      -0.5238       0.2762,        740         -0.8       0.8127       1.6127,        740         -0.8       0.3749       1.1749,        740         -0.8       0.3315       1.1315
2018.1.4,2466.46,        741       1.2593       0.4363       -0.823,        741       1.2593       0.2983       -0.961,        741       1.2593       0.4422      -0.8171,        741       1.2593      -0.1472      -1.4065,        741       1.2593        0.466      -0.7933,        741       1.2593       0.2482      -1.0111,        741       1.2593       0.4084      -0.8509,        741       1.2593       0.3955      -0.8638
2018.1.5,2497.52,        742        0.631       0.2272      -0.4038,        742        0.631       0.1575      -0.4736,        742        0.631       0.3477      -0.2834,        742        0.631       0.2444      -0.3866,        742        0.631       0.7919       0.1609,        742        0.631      -0.4119      -1.0429,        742        0.631       0.2773      -0.3537,        742        0.631       0.1168      -0.5142
2018.1.8,2513.28,        743      -0.1214      -0.1707      -0.0493,        743      -0.1214      -0.1533       -0.032,        743      -0.1214      -0.1331      -0.0117,        743      -0.1214       0.1198       0.2411,        743      -0.1214      -1.0892      -0.9679,        743      -0.1214      -0.4705      -0.3491,        743      -0.1214       0.0965       0.2179,        743      -0.1214       0.0771       0.1984
2018.1.9,2510.23,        744      -0.4175       -0.055       0.3625,        744      -0.4175      -0.6529      -0.2354,        744      -0.4175      -0.0486       0.3689,        744      -0.4175      -0.5081      -0.0906,        744      -0.4175      -1.2764      -0.8589,        744      -0.4175        -0.93      -0.5125,        744      -0.4175       0.0192       0.4367,        744      -0.4175      -0.0168       0.4007
2018.1.10,2499.75,        745      -0.4736      -0.0012       0.4724,        745      -0.4736       0.4134       0.8871,        745      -0.4736       0.0967       0.5704,        745      -0.4736       0.4209       0.8945,        745      -0.4736      -1.0056      -0.5319,        745      -0.4736       0.7642       1.2378,        745      -0.4736       0.0615       0.5352,        745      -0.4736       0.0905       0.5641
2018.1.11,2487.91,        746       0.3421       0.0209      -0.3212,        746       0.3421      -0.4477      -0.7898,        746       0.3421       0.0133      -0.3288,        746       0.3421      -0.2542      -0.5963,        746       0.3421      -0.3611      -0.7032,        746       0.3421      -0.0787      -0.4208,        746       0.3421       0.1573      -0.1848,        746       0.3421       0.2513      -0.0908
2018.1.12,2496.42,        747       0.2928       0.1674      -0.1254,        747       0.2928       0.2252      -0.0677,        747       0.2928       0.1436      -0.1493,        747       0.2928       0.4355       0.1427,        747       0.2928      -0.5156      -0.8084,        747       0.2928       0.6253       0.3325,        747       0.2928       0.1676      -0.1252,        747       0.2928       0.1157      -0.1771
