Date,KOSPI_Now,filter_smo,wrapper_smo,filter_linear,wrapper_linear,filter_mlp,wrapper_mlp,filter_gaussian,wrapper_gaussian
2011.12.29,1825.74,        753       0.0345       0.6077       0.5732,        753       0.0345       1.4374       1.4029,        753       0.0345        0.281       0.2465,        753       0.0345       0.5351       0.5006,        753       0.0345      -0.3899      -0.4245,        753       0.0345      -0.7061      -0.7406,        753       0.0345       0.9427       0.9082,        753       0.0345        0.788       0.7535
2012.1.2,1826.37,        754       2.6851       1.6973      -0.9878,        754       2.6851        1.776      -0.9091,        754       2.6851       1.6901       -0.995,        754       2.6851       1.6117      -1.0734,        754       2.6851       2.7235       0.0384,        754       2.6851        1.176      -1.5091,        754       2.6851       1.1801       -1.505,        754       2.6851        1.028      -1.6571
2012.1.3,1875.41,        755        -0.49       0.3015       0.7915,        755        -0.49       0.5058       0.9958,        755        -0.49       0.6233       1.1133,        755        -0.49       0.5171       1.0071,        755        -0.49       0.0557       0.5457,        755        -0.49      -0.7998      -0.3097,        755        -0.49       0.2322       0.7222,        755        -0.49       0.1752       0.6652
2012.1.4,1866.22,        756      -0.1329      -0.3125      -0.1796,        756      -0.1329      -0.1006       0.0323,        756      -0.1329      -0.3618      -0.2289,        756      -0.1329       0.1256       0.2584,        756      -0.1329      -0.8603      -0.7274,        756      -0.1329      -2.7585      -2.6256,        756      -0.1329      -0.3697      -0.2369,        756      -0.1329      -0.3402      -0.2073
2012.1.5,1863.74,        757      -1.1053      -0.8444       0.2609,        757      -1.1053      -0.2851       0.8202,        757      -1.1053      -0.8392       0.2662,        757      -1.1053      -0.7459       0.3594,        757      -1.1053      -1.3338      -0.2285,        757      -1.1053      -3.1023       -1.997,        757      -1.1053      -0.3509       0.7544,        757      -1.1053      -0.3471       0.7582
2012.1.6,1843.14,        758      -0.9033       0.4449       1.3483,        758      -0.9033       0.5296       1.4329,        758      -0.9033       0.2423       1.1457,        758      -0.9033       0.1438       1.0472,        758      -0.9033       0.3019       1.2052,        758      -0.9033      -0.6373       0.2661,        758      -0.9033      -0.1399       0.7634,        758      -0.9033      -0.1231       0.7803
2012.1.9,1826.49,        759       1.4635       0.8071      -0.6563,        759       1.4635       1.0263      -0.4371,        759       1.4635       0.7338      -0.7296,        759       1.4635       0.9487      -0.5148,        759       1.4635       1.3158      -0.1476,        759       1.4635       1.1163      -0.3471,        759       1.4635       0.8349      -0.6286,        759       1.4635       0.7334      -0.7301
2012.1.10,1853.22,        760      -0.4139       0.1258       0.5397,        760      -0.4139      -0.2344       0.1794,        760      -0.4139       0.0289       0.4427,        760      -0.4139      -0.3128       0.1011,        760      -0.4139      -0.8471      -0.4332,        760      -0.4139      -2.2148      -1.8009,        760      -0.4139       0.2095       0.6234,        760      -0.4139       0.0347       0.4485
2012.1.11,1845.55,        761       1.0306      -0.6087      -1.6392,        761       1.0306      -0.5029      -1.5335,        761       1.0306      -0.9472      -1.9778,        761       1.0306      -0.9497      -1.9803,        761       1.0306      -0.8503      -1.8809,        761       1.0306      -0.6913      -1.7219,        761       1.0306       0.1059      -0.9247,        761       1.0306        0.114      -0.9166
2012.1.12,1864.57,        762       0.5958        0.339      -0.2568,        762       0.5958       0.4364      -0.1594,        762       0.5958       0.1356      -0.4602,        762       0.5958       0.3194      -0.2764,        762       0.5958      -0.4505      -1.0463,        762       0.5958      -1.5606      -2.1564,        762       0.5958       0.0958      -0.5001,        762       0.5958       0.0819      -0.5139
2012.1.13,1875.68,        763      -0.8749      -0.9274      -0.0525,        763      -0.8749      -0.8672       0.0077,        763      -0.8749      -0.7436       0.1313,        763      -0.8749      -1.0763      -0.2014,        763      -0.8749      -1.6742      -0.7993,        763      -0.8749      -2.2417      -1.3668,        763      -0.8749      -0.5471       0.3278,        763      -0.8749      -0.4865       0.3884
2012.1.16,1859.27,        764       1.8002        2.005       0.2049,        764       1.8002       2.2342       0.4341,        764       1.8002        1.841       0.0408,        764       1.8002       1.9043       0.1041,        764       1.8002       2.8954       1.0952,        764       1.8002       3.1936       1.3935,        764       1.8002        1.252      -0.5481,        764       1.8002       1.0431      -0.7571
2012.1.17,1892.74,        765      -0.0185      -0.0223      -0.0038,        765      -0.0185       0.3098       0.3283,        765      -0.0185       0.1174       0.1359,        765      -0.0185       0.8024       0.8209,        765      -0.0185      -1.4544      -1.4359,        765      -0.0185       0.0043       0.0227,        765      -0.0185       0.2803       0.2988,        765      -0.0185       0.1583       0.1768
2012.1.18,1892.39,        766       1.1932       0.5031      -0.6901,        766       1.1932       0.6565      -0.5367,        766       1.1932        0.066      -1.1272,        766       1.1932       0.2378      -0.9554,        766       1.1932      -0.2439      -1.4371,        766       1.1932       0.9216      -0.2716,        766       1.1932       0.5902       -0.603,        766       1.1932       0.5152       -0.678
2012.1.19,1914.97,        767       1.8235       0.5143      -1.3092,        767       1.8235       1.0882      -0.7354,        767       1.8235       0.5647      -1.2588,        767       1.8235       -0.079      -1.9025,        767       1.8235       1.5881      -0.2355,        767       1.8235       0.8367      -0.9868,        767       1.8235       0.3479      -1.4756,        767       1.8235       0.3886      -1.4349
2012.1.20,1949.89,        768         0.12       0.1787       0.0587,        768         0.12       0.0275      -0.0925,        768         0.12       0.4154       0.2954,        768         0.12       0.4067       0.2867,        768         0.12       0.5021       0.3821,        768         0.12      -0.5731      -0.6931,        768         0.12       0.5598       0.4398,        768         0.12       0.5075       0.3875
2012.1.25,1952.23,        769       0.2536       -0.331      -0.5846,        769       0.2536       0.0465       -0.207,        769       0.2536      -0.4919      -0.7455,        769       0.2536      -0.2344       -0.488,        769       0.2536      -0.8629      -1.1164,        769       0.2536       0.6243       0.3708,        769       0.2536       0.4444       0.1908,        769       0.2536       0.4734       0.2198
2012.1.26,1957.18,        770       0.3909       0.0178      -0.3731,        770       0.3909      -0.5851       -0.976,        770       0.3909       0.1623      -0.2286,        770       0.3909       0.2111      -0.1797,        770       0.3909      -0.5452       -0.936,        770       0.3909      -1.1038      -1.4947,        770       0.3909      -0.0372      -0.4281,        770       0.3909      -0.0983      -0.4891
2012.1.27,1964.83,        771      -1.2357      -0.7524       0.4834,        771      -1.2357      -0.6243       0.6114,        771      -1.2357      -1.0541       0.1816,        771      -1.2357      -0.3775       0.8582,        771      -1.2357      -1.6827      -0.4469,        771      -1.2357      -1.8108      -0.5751,        771      -1.2357      -0.7656       0.4702,        771      -1.2357       -0.722       0.5138
2012.1.30,1940.55,        772       0.7853       0.4537      -0.3316,        772       0.7853       0.5093       -0.276,        772       0.7853       0.3468      -0.4385,        772       0.7853       0.4405      -0.3449,        772       0.7853       2.2067       1.4214,        772       0.7853       2.2912       1.5059,        772       0.7853       0.2649      -0.5204,        772       0.7853       0.1651      -0.6202
