Date,KOSPI_Now,filter_smo,wrapper_smo,filter_linear,wrapper_linear,filter_mlp,wrapper_mlp,filter_gaussian,wrapper_gaussian
2009.12.30,1682.77,        741       0.7945       1.3273       0.5327,        742       0.7945       1.3504       0.5559,        741       0.7945       1.5412       0.7467,        742       0.7945       0.3499      -0.4446,        741       0.7945       1.4591       0.6646,        742       0.7945       0.4359      -0.3586,        741       0.7945       0.6498      -0.1447,        742       0.7945       0.9261       0.1316
2010.1.4,1696.14,        742      -0.3254       0.8136       1.1391,        743      -0.3254       0.5351       0.8605,        742      -0.3254       0.3849       0.7104,        743      -0.3254       1.1756       1.5011,        742      -0.3254       0.4376       0.7631,        743      -0.3254       0.4359       0.7614,        742      -0.3254       0.6687       0.9941,        743      -0.3254       0.5022       0.8276
2010.1.5,1690.62,        743       0.8695       0.6081      -0.2614,        744       0.8695      -0.0039      -0.8734,        743       0.8695       0.8305       -0.039,        744       0.8695       0.3449      -0.5246,        743       0.8695       1.0938       0.2243,        744       0.8695       0.4359      -0.4336,        743       0.8695        0.218      -0.6515,        744       0.8695       0.3998      -0.4697
2010.1.6,1705.32,        744      -1.2825      -0.4596       0.8229,        745      -1.2825      -0.9827       0.2998,        744      -1.2825      -0.7164       0.5661,        745      -1.2825      -0.6086       0.6738,        744      -1.2825      -1.2033       0.0792,        745      -1.2825       0.4359       1.7184,        744      -1.2825      -0.0793       1.2032,        745      -1.2825      -0.0401       1.2424
2010.1.7,1683.45,        745       0.7015       0.7755       0.0739,        746       0.7015       1.0089       0.3074,        745       0.7015       0.6109      -0.0907,        746       0.7015       0.3256      -0.3759,        745       0.7015        0.901       0.1995,        746       0.7015       0.4359      -0.2656,        745       0.7015       0.3454      -0.3561,        746       0.7015       0.3937      -0.3078
2010.1.8,1695.26,        746      -0.0672       0.5163       0.5836,        747      -0.0672        0.762       0.8293,        746      -0.0672       0.4897       0.5569,        747      -0.0672       1.5177       1.5849,        746      -0.0672       0.7451       0.8123,        747      -0.0672       0.4359       0.5032,        746      -0.0672       0.4704       0.5376,        747      -0.0672       0.5765       0.6438
2010.1.11,1694.12,        747       0.2668      -0.3635      -0.6303,        748       0.2668      -0.2186      -0.4854,        747       0.2668      -0.0017      -0.2685,        748       0.2668       -0.715      -0.9819,        747       0.2668      -1.2422       -1.509,        748       0.2668       0.4359       0.1691,        747       0.2668      -0.4797      -0.7465,        748       0.2668      -0.5474      -0.8142
2010.1.12,1698.64,        748       -1.603      -0.7705       0.8325,        749       -1.603      -0.7923       0.8107,        748       -1.603      -1.0656       0.5374,        749       -1.603      -0.3098       1.2932,        748       -1.603      -1.2771       0.3259,        749       -1.603       0.4359        2.039,        748       -1.603      -0.3914       1.2116,        749       -1.603      -0.3829       1.2202
2010.1.13,1671.41,        749       0.8592       1.0587       0.1996,        750       0.8592       0.8679       0.0087,        749       0.8592         1.03       0.1709,        750       0.8592       1.0017       0.1426,        749       0.8592       2.1592          1.3,        750       0.8592       0.4359      -0.4232,        749       0.8592        0.547      -0.3121,        750       0.8592        0.571      -0.2881
2010.1.14,1685.77,        750       0.9509       0.5248      -0.4261,        751       0.9509        0.099      -0.8519,        750       0.9509        0.132      -0.8189,        751       0.9509       0.1705      -0.7804,        750       0.9509       0.1548      -0.7961,        751       0.9509       0.4359       -0.515,        750       0.9509      -0.1259      -1.0768,        751       0.9509      -0.2044      -1.1553
2010.1.15,1701.8,        751       0.5864      -0.4794      -1.0659,        752       0.5864      -0.5133      -1.0997,        751       0.5864      -0.7101      -1.2965,        752       0.5864      -0.1102      -0.6966,        751       0.5864      -0.1208      -0.7073,        752       0.5864       0.4359      -0.1505,        751       0.5864       -0.343      -0.9294,        752       0.5864      -0.2984      -0.8849
2010.1.18,1711.78,        752      -0.0911      -0.4198      -0.3287,        753      -0.0911      -0.2285      -0.1374,        752      -0.0911      -0.8425      -0.7514,        753      -0.0911      -0.0329       0.0582,        752      -0.0911      -0.1353      -0.0442,        753      -0.0911       0.4359       0.5271,        752      -0.0911      -0.0781       0.0131,        753      -0.0911       0.0047       0.0958
2010.1.19,1710.22,        753       0.2432      -0.2296      -0.4728,        754       0.2432      -0.0687      -0.3119,        753       0.2432      -0.2782      -0.5214,        754       0.2432      -0.1999      -0.4431,        753       0.2432      -0.8213      -1.0646,        754       0.2432       0.4359       0.1927,        753       0.2432       -0.256      -0.4992,        754       0.2432      -0.4072      -0.6504
2010.1.20,1714.38,        754       0.4451       0.1474      -0.2976,        755       0.4451      -0.5833      -1.0283,        754       0.4451      -0.2766      -0.7217,        755       0.4451      -0.0137      -0.4588,        754       0.4451      -0.7201      -1.1652,        755       0.4451       0.4359      -0.0091,        754       0.4451      -0.7758      -1.2209,        755       0.4451      -1.0112      -1.4562
2010.1.21,1722.01,        755       -2.187       -2.073        0.114,        756       -2.187      -2.4639      -0.2769,        755       -2.187      -2.4534      -0.2664,        756       -2.187      -2.2757      -0.0887,        755       -2.187      -4.3362      -2.1492,        756       -2.187       0.4359       2.6229,        755       -2.187      -1.4426       0.7444,        756       -2.187      -1.3407       0.8463
2010.1.22,1684.35,        756      -0.8401       0.1345       0.9745,        757      -0.8401       0.2624       1.1025,        756      -0.8401       0.1099         0.95,        757      -0.8401      -0.9299      -0.0898,        756      -0.8401      -0.8334       0.0067,        757      -0.8401       0.4359        1.276,        756      -0.8401        -0.34       0.5001,        757      -0.8401      -0.0095       0.8306
2010.1.25,1670.2,        757      -1.9674      -1.5399       0.4275,        758      -1.9674      -1.2627       0.7048,        757      -1.9674      -1.3368       0.6306,        758      -1.9674      -0.5828       1.3846,        757      -1.9674      -2.6684      -0.7009,        758      -1.9674       0.4359       2.4034,        757      -1.9674       -0.629       1.3384,        758      -1.9674      -0.6666       1.3008
2010.1.26,1637.34,        758      -0.7243      -0.6061       0.1182,        759      -0.7243       0.0599       0.7843,        758      -0.7243       -1.009      -0.2847,        759      -0.7243      -0.4089       0.3155,        758      -0.7243      -2.1566      -1.4322,        759      -0.7243       0.4359       1.1603,        758      -0.7243      -0.2447       0.4797,        759      -0.7243      -0.3654       0.3589
2010.1.27,1625.48,        759       1.0428       1.4059       0.3632,        760       1.0428       1.5067       0.4639,        759       1.0428       1.3724       0.3296,        760       1.0428       1.2767        0.234,        759       1.0428      -0.3472        -1.39,        760       1.0428       0.4359      -0.6068,        759       1.0428       0.3832      -0.6596,        760       1.0428        0.399      -0.6438
