Date,KOSPI_Now
2012.12.4,1935.18
2012.12.5,1947.04
2012.12.6,1949.62
2012.12.7,1957.45
2012.12.10,1957.42
2012.12.11,1964.62
2012.12.12,1975.44
2012.12.13,2002.77
2012.12.14,1995.04
2012.12.17,1983.07
2012.12.18,1993.09
2012.12.20,1999.5
2012.12.21,1980.42
2012.12.24,1981.82
2012.12.26,1982.25
2012.12.27,1987.35
2012.12.28,1997.05
2013.1.2,2031.1
2013.1.3,2019.41
2013.1.4,2011.94
2013.1.7,2011.25
2013.1.8,1997.94
2013.1.9,1991.81
2013.1.10,2006.8
2013.1.11,1996.67
2013.1.14,2007.04
2013.1.15,1983.74
2013.1.16,1977.45
2013.1.17,1974.27
2013.1.18,1987.85
2013.1.21,1986.86
2013.1.22,1996.52
2013.1.23,1980.41
2013.1.24,1964.48
2013.1.25,1946.69
2013.1.28,1939.71
2013.1.29,1955.96
2013.1.30,1964.43
2013.1.31,1961.94
2013.2.1,1957.79
2013.2.4,1953.21
2013.2.5,1938.18
2013.2.6,1936.19
2013.2.7,1931.77
2013.2.8,1950.9
2013.2.12,1945.79
2013.2.13,1976.07
2013.2.14,1979.61
2013.2.15,1981.18
2013.2.18,1981.91
2013.2.19,1985.83
2013.2.20,2024.64
2013.2.21,2015.22
2013.2.22,2018.89
2013.2.25,2009.52
2013.2.26,2000.01
2013.2.27,2004.04
2013.2.28,2026.49
2013.3.4,2013.15
2013.3.5,2016.61
2013.3.6,2020.74
2013.3.7,2004.4
2013.3.8,2006.01
2013.3.11,2003.35
2013.3.12,1993.34
2013.3.13,1999.73
2013.3.14,2002.13
2013.3.15,1986.5
2013.3.18,1968.18
2013.3.19,1978.56
2013.3.20,1959.41
2013.3.21,1950.82
2013.3.22,1948.71
2013.3.25,1977.67
2013.3.26,1983.7
2013.3.27,1993.44
2013.3.28,1993.52
2013.3.29,2004.89
2013.4.1,1995.99
2013.4.2,1986.15
2013.4.3,1983.22
2013.4.4,1959.45
2013.4.5,1927.23
2013.4.8,1918.69
2013.4.9,1920.74
2013.4.10,1935.58
2013.4.11,1949.8
2013.4.12,1924.23
2013.4.15,1920.45
2013.4.16,1922.21
2013.4.17,1923.84
2013.4.18,1900.06
2013.4.19,1906.75
2013.4.22,1926.31
2013.4.23,1918.63
2013.4.24,1935.31
2013.4.25,1951.6
2013.4.26,1944.56
2013.4.29,1940.7
2013.4.30,1963.95
2013.5.2,1957.21
2013.5.3,1965.71
2013.5.6,1961.48
2013.5.7,1954.35
2013.5.8,1956.45
2013.5.9,1979.45
2013.5.10,1944.75
2013.5.13,1948.7
2013.5.14,1968.83
2013.5.15,1971.26
2013.5.16,1986.81
2013.5.20,1982.43
2013.5.21,1981.09
2013.5.22,1993.83
2013.5.23,1969.19
2013.5.24,1973.45
2013.5.27,1979.97
2013.5.28,1986.22
2013.5.29,2001.2
2013.5.30,2000.1
2013.5.31,2001.05
2013.6.3,1989.57
2013.6.4,1989.51
2013.6.5,1959.19
2013.6.7,1923.85
2013.6.10,1932.7
2013.6.11,1920.68
2013.6.12,1909.91
2013.6.13,1882.73
2013.6.14,1889.24
2013.6.17,1883.1
2013.6.18,1900.62
2013.6.19,1888.31
2013.6.20,1850.49
2013.6.21,1822.83
2013.6.24,1799.01
2013.6.25,1780.63
2013.6.26,1783.45
2013.6.27,1834.7
2013.6.28,1863.32
2013.7.1,1855.73
2013.7.2,1855.02
2013.7.3,1824.66
2013.7.4,1839.14
2013.7.5,1833.31
2013.7.8,1816.85
2013.7.9,1830.35
2013.7.10,1824.16
2013.7.11,1877.6
2013.7.12,1869.98
2013.7.15,1875.16
2013.7.16,1866.36
2013.7.17,1887.49
2013.7.18,1875.48
2013.7.19,1871.41
2013.7.22,1880.35
2013.7.23,1904.15
2013.7.24,1912.08
2013.7.25,1909.61
2013.7.26,1910.81
2013.7.29,1899.89
2013.7.30,1917.05
2013.7.31,1914.03
2013.8.1,1920.74
2013.8.2,1923.38
2013.8.5,1916.22
2013.8.6,1906.62
2013.8.7,1878.33
2013.8.8,1883.97
2013.8.9,1880.71
2013.8.12,1884.83
2013.8.13,1913.03
2013.8.14,1923.91
2013.8.16,1920.11
2013.8.19,1917.64
2013.8.20,1887.85
2013.8.21,1867.46
2013.8.22,1849.12
2013.8.23,1870.16
2013.8.26,1887.86
2013.8.27,1885.84
2013.8.28,1884.52
2013.8.29,1907.54
2013.8.30,1926.36
2013.9.2,1924.81
2013.9.3,1933.74
2013.9.4,1933.03
2013.9.5,1951.65
2013.9.6,1955.31
2013.9.9,1974.67
2013.9.10,1994.06
2013.9.11,2003.85
2013.9.12,2004.06
2013.9.13,1994.32
2013.9.16,2013.37
2013.9.17,2005.58
2013.9.23,2009.41
2013.9.24,2007.1
2013.9.25,1998.06
2013.9.26,2007.32
2013.9.27,2011.8
2013.9.30,1996.96
2013.10.1,1998.87
2013.10.2,1999.47
2013.10.4,1996.98
2013.10.7,1994.42
2013.10.8,2002.76
2013.10.10,2001.4
2013.10.11,2024.9
2013.10.14,2020.27
2013.10.15,2040.96
2013.10.16,2034.61
2013.10.17,2040.61
2013.10.18,2052.4
2013.10.21,2053.01
2013.10.22,2056.12
2013.10.23,2035.75
2013.10.24,2046.69
2013.10.25,2034.39
2013.10.28,2048.14
2013.10.29,2051.76
2013.10.30,2059.58
2013.10.31,2030.09
2013.11.1,2039.42
2013.11.4,2025.17
2013.11.5,2013.93
2013.11.6,2013.67
2013.11.7,2004.04
2013.11.8,1984.87
2013.11.11,1977.3
2013.11.12,1995.48
2013.11.13,1963.56
2013.11.14,1967.56
2013.11.15,2005.64
2013.11.18,2010.81
2013.11.19,2031.64
2013.11.20,2017.24
2013.11.21,1993.78
2013.11.22,2006.23
2013.11.25,2015.98
2013.11.26,2022.64
2013.11.27,2028.81
2013.11.28,2045.77
