Date,KOSPI_Now,filter_smo,wrapper_smo,filter_linear,wrapper_linear,filter_mlp,wrapper_mlp,filter_gaussian,wrapper_gaussian
2012.12.28,1997.05,        748        1.705       1.3338      -0.3712,        748        1.705       2.0361       0.3311,        748        1.705       1.6349      -0.0701,        748        1.705       2.0521       0.3471,        748        1.705      -1.3163      -3.0213,        748        1.705       1.8459       0.1409,        748        1.705       1.2677      -0.4373,        748        1.705       1.2058      -0.4992
2013.1.2,2031.1,        749      -0.5756       0.4431       1.0186,        749      -0.5756       0.0349       0.6105,        749      -0.5756       0.4212       0.9968,        749      -0.5756       0.0764        0.652,        749      -0.5756        0.379       0.9545,        749      -0.5756      -0.3061       0.2694,        749      -0.5756        0.484       1.0596,        749      -0.5756       0.4805       1.0561
2013.1.3,2019.41,        750      -0.3699       0.0774       0.4473,        750      -0.3699      -0.0133       0.3566,        750      -0.3699       0.3853       0.7552,        750      -0.3699      -0.1705       0.1995,        750      -0.3699       0.8926       1.2625,        750      -0.3699      -0.7755      -0.4056,        750      -0.3699       0.1342       0.5041,        750      -0.3699      -0.0744       0.2955
2013.1.4,2011.94,        751      -0.0343      -0.3757      -0.3414,        751      -0.0343      -0.5274      -0.4931,        751      -0.0343       -0.489      -0.4547,        751      -0.0343      -0.4496      -0.4153,        751      -0.0343      -1.2141      -1.1798,        751      -0.0343      -0.0702      -0.0359,        751      -0.0343       0.1247        0.159,        751      -0.0343       0.1646       0.1989
2013.1.7,2011.25,        752      -0.6618      -0.3781       0.2836,        752      -0.6618      -0.5342       0.1276,        752      -0.6618      -0.2829       0.3789,        752      -0.6618      -0.3549       0.3069,        752      -0.6618      -0.4643       0.1975,        752      -0.6618      -0.6581       0.0036,        752      -0.6618      -0.3748        0.287,        752      -0.6618       -0.289       0.3728
2013.1.8,1997.94,        753      -0.3068        0.414       0.7208,        753      -0.3068       0.3243       0.6311,        753      -0.3068       0.3872       0.6941,        753      -0.3068       0.2839       0.5907,        753      -0.3068       2.9748       3.2816,        753      -0.3068       0.3718       0.6786,        753      -0.3068       0.1587       0.4656,        753      -0.3068       0.1998       0.5067
2013.1.9,1991.81,        754       0.7526       0.0936       -0.659,        754       0.7526       0.4167      -0.3359,        754       0.7526       0.1694      -0.5832,        754       0.7526       0.3002      -0.4524,        754       0.7526       0.8697       0.1171,        754       0.7526       0.8398       0.0872,        754       0.7526       0.2623      -0.4903,        754       0.7526       0.1723      -0.5803
2013.1.10,2006.8,        755      -0.5048      -0.1712       0.3336,        755      -0.5048      -0.4156       0.0892,        755      -0.5048      -0.0684       0.4364,        755      -0.5048       0.0455       0.5503,        755      -0.5048       0.6189       1.1236,        755      -0.5048      -0.9779      -0.4731,        755      -0.5048       0.1249       0.6297,        755      -0.5048       0.0616       0.5664
2013.1.11,1996.67,        756       0.5194       0.8001       0.2808,        756       0.5194       0.8482       0.3288,        756       0.5194       0.7119       0.1926,        756       0.5194       0.7692       0.2498,        756       0.5194       1.7468       1.2274,        756       0.5194       1.6177       1.0983,        756       0.5194       0.2425      -0.2769,        756       0.5194       0.1983      -0.3211
2013.1.14,2007.04,        757      -1.1609        -0.55        0.611,        757      -1.1609       -0.728        0.433,        757      -1.1609      -0.3005       0.8604,        757      -1.1609      -0.4945       0.6664,        757      -1.1609       1.0625       2.2234,        757      -1.1609      -0.6368       0.5241,        757      -1.1609      -0.1314       1.0295,        757      -1.1609      -0.0552       1.1058
