Date,KOSPI_Now,filter_smo,wrapper_smo,filter_linear,wrapper_linear,filter_mlp,wrapper_mlp,filter_gaussian,wrapper_gaussian
2009.12.30,1682.77,        741       0.7945       1.3273       0.5327,        742       0.7945       1.2739       0.4794,        741       0.7945       1.5412       0.7467,        742       0.7945       0.3499      -0.4446,        741       0.7945       1.4591       0.6646,        742       0.7945       0.4359      -0.3586,        741       0.7945       0.6498      -0.1447,        742       0.7945       0.9261       0.1316
2010.1.4,1696.14,        742      -0.3254       0.8136       1.1391,        743      -0.3254       0.5343       0.8598,        742      -0.3254       0.3849       0.7104,        743      -0.3254       1.1756       1.5011,        742      -0.3254       0.4376       0.7631,        743      -0.3254       0.4359       0.7614,        742      -0.3254       0.6687       0.9941,        743      -0.3254       0.5022       0.8276
2010.1.5,1690.62,        743       0.8695       0.6081      -0.2614,        744       0.8695       0.0234      -0.8461,        743       0.8695       0.8305       -0.039,        744       0.8695       0.3449      -0.5246,        743       0.8695       1.0938       0.2243,        744       0.8695       0.4359      -0.4336,        743       0.8695        0.218      -0.6515,        744       0.8695       0.3998      -0.4697
2010.1.6,1705.32,        744      -1.2825      -0.4596       0.8229,        745      -1.2825       -0.989       0.2935,        744      -1.2825      -0.7164       0.5661,        745      -1.2825      -0.6086       0.6738,        744      -1.2825      -1.2033       0.0792,        745      -1.2825       0.4359       1.7184,        744      -1.2825      -0.0793       1.2032,        745      -1.2825      -0.0401       1.2424
2010.1.7,1683.45,        745       0.7015       0.7755       0.0739,        746       0.7015       0.9667       0.2652,        745       0.7015       0.6109      -0.0907,        746       0.7015       0.3256      -0.3759,        745       0.7015        0.901       0.1995,        746       0.7015       0.4359      -0.2656,        745       0.7015       0.3454      -0.3561,        746       0.7015       0.3937      -0.3078
2010.1.8,1695.26,        746      -0.0672       0.5163       0.5836,        747      -0.0672       0.7602       0.8275,        746      -0.0672       0.4897       0.5569,        747      -0.0672       1.5177       1.5849,        746      -0.0672       0.7451       0.8123,        747      -0.0672       0.4359       0.5032,        746      -0.0672       0.4704       0.5376,        747      -0.0672       0.5765       0.6438
2010.1.11,1694.12,        747       0.2668      -0.3635      -0.6303,        748       0.2668      -0.1821      -0.4489,        747       0.2668      -0.0017      -0.2685,        748       0.2668       -0.715      -0.9819,        747       0.2668      -1.2422       -1.509,        748       0.2668       0.4359       0.1691,        747       0.2668      -0.4797      -0.7465,        748       0.2668      -0.5474      -0.8142
2010.1.12,1698.64,        748       -1.603      -0.7705       0.8325,        749       -1.603      -0.7895       0.8136,        748       -1.603      -1.0656       0.5374,        749       -1.603      -0.3098       1.2932,        748       -1.603      -1.2771       0.3259,        749       -1.603       0.4359        2.039,        748       -1.603      -0.3914       1.2116,        749       -1.603      -0.3829       1.2202
2010.1.13,1671.41,        749       0.8592       1.0587       0.1996,        750       0.8592       0.8397      -0.0194,        749       0.8592         1.03       0.1709,        750       0.8592       1.0017       0.1426,        749       0.8592       2.1592          1.3,        750       0.8592       0.4359      -0.4232,        749       0.8592        0.547      -0.3121,        750       0.8592        0.571      -0.2881
2010.1.14,1685.77,        750       0.9509       0.5248      -0.4261,        751       0.9509       0.1257      -0.8252,        750       0.9509        0.132      -0.8189,        751       0.9509       0.1705      -0.7804,        750       0.9509       0.1548      -0.7961,        751       0.9509       0.4359       -0.515,        750       0.9509      -0.1259      -1.0768,        751       0.9509      -0.2044      -1.1553
