Date,KOSPI_Now,filter_smo,wrapper_smo,filter_linear,wrapper_linear,filter_mlp,wrapper_mlp,filter_gaussian,wrapper_gaussian
2010.12.30,2051,        992       0.9303       0.4327      -0.4976,        993       0.9303       1.2619       0.3316,        992       0.9303        0.633      -0.2973,        993       0.9303       0.8219      -0.1084,        992       0.9303      -0.3814      -1.3117,        993       0.9303       0.5958      -0.3345,        992       0.9303       0.4327      -0.4976,        993       0.9303       0.5772      -0.3531
2011.1.3,2070.08,        993       0.7275       0.2969      -0.4306,        994       0.7275       0.3269      -0.4006,        993       0.7275        0.962       0.2345,        994       0.7275        1.045       0.3175,        993       0.7275      -0.1993      -0.9269,        994       0.7275       0.1217      -0.6058,        993       0.7275       0.2969      -0.4306,        994       0.7275        0.222      -0.5056
2011.1.4,2085.14,        994      -0.1242      -0.0912        0.033,        995      -0.1242       0.0169       0.1412,        994      -0.1242       0.2549       0.3791,        995      -0.1242      -0.6925      -0.5683,        994      -0.1242      -0.1112        0.013,        995      -0.1242      -0.0006       0.1236,        994      -0.1242      -0.0912        0.033,        995      -0.1242       0.1694       0.2936
2011.1.5,2082.55,        995      -0.2372       0.3886       0.6258,        996      -0.2372       0.6403       0.8775,        995      -0.2372       0.1174       0.3546,        996      -0.2372       0.4057       0.6429,        995      -0.2372      -0.3007      -0.0635,        996      -0.2372       0.1833       0.4206,        995      -0.2372       0.3886       0.6258,        996      -0.2372       0.5148        0.752
2011.1.6,2077.61,        996       0.4135      -0.4086       -0.822,        997       0.4135      -0.1584      -0.5718,        996       0.4135       0.0235      -0.3899,        997       0.4135       0.1047      -0.3088,        996       0.4135      -1.0145       -1.428,        997       0.4135       0.0271      -0.3864,        996       0.4135      -0.4086       -0.822,        997       0.4135      -0.3074      -0.7209
2011.1.7,2086.2,        997      -0.2584      -0.7984        -0.54,        998      -0.2584      -0.7056      -0.4473,        997      -0.2584      -1.2198      -0.9615,        998      -0.2584      -0.8816      -0.6232,        997      -0.2584      -1.5848      -1.3264,        998      -0.2584       0.0319       0.2902,        997      -0.2584      -0.7984        -0.54,        998      -0.2584      -0.6678      -0.4094
2011.1.10,2080.81,        998       0.3609       0.0901      -0.2708,        999       0.3609       0.0758      -0.2851,        998       0.3609      -0.3272      -0.6881,        999       0.3609      -0.0486      -0.4095,        998       0.3609      -0.4311       -0.792,        999       0.3609        0.076      -0.2849,        998       0.3609       0.0901      -0.2708,        999       0.3609        0.169       -0.192
2011.1.11,2088.32,        999       0.3175       0.8991       0.5816,       1000       0.3175       0.2922      -0.0253,        999       0.3175       0.4903       0.1728,       1000       0.3175       0.4323       0.1149,        999       0.3175      -0.1346      -0.4521,       1000       0.3175       0.1379      -0.1795,        999       0.3175       0.8991       0.5816,       1000       0.3175       0.8291       0.5117
2011.1.12,2094.95,       1000      -0.2611       0.7128       0.9739,       1001      -0.2611       1.3041       1.5652,       1000      -0.2611       1.4006       1.6617,       1001      -0.2611       1.6356       1.8967,       1000      -0.2611       0.7849        1.046,       1001      -0.2611       0.2214       0.4825,       1000      -0.2611       0.7128       0.9739,       1001      -0.2611       0.4656       0.7267
2011.1.13,2089.48,       1001       0.8945      -0.1905      -1.0849,       1002       0.8945      -0.7698      -1.6642,       1001       0.8945      -0.4686       -1.363,       1002       0.8945      -1.1494      -2.0439,       1001       0.8945      -0.9828      -1.8772,       1002       0.8945       0.0592      -0.8353,       1001       0.8945      -0.1905      -1.0849,       1002       0.8945      -0.2172      -1.1117
