Date,KOSPI_Now,filter_smo,wrapper_smo,filter_linear,wrapper_linear,filter_mlp,wrapper_mlp,filter_gaussian,wrapper_gaussian
2013.12.31,2011.34,        996      -2.1951       0.3661       2.5612,        996      -2.1951       0.3161       2.5111,        996      -2.1951       0.3176       2.5127,        996      -2.1951       0.5034       2.6984,        996      -2.1951       0.1419        2.337,        996      -2.1951       0.8111       3.0061,        996      -2.1951      -0.0818       2.1132,        996      -2.1951       0.1545       2.3496
2014.1.2,1967.19,        997      -1.0701      -0.9617       0.1084,        997      -1.0701      -0.6492       0.4209,        997      -1.0701       -1.317       -0.247,        997      -1.0701      -0.8944       0.1756,        997      -1.0701      -1.6553      -0.5853,        997      -1.0701      -3.5321      -2.4621,        997      -1.0701      -0.8769       0.1932,        997      -1.0701      -0.6734       0.3966
2014.1.3,1946.14,        998       0.3669      -0.4964      -0.8633,        998       0.3669      -0.2914      -0.6583,        998       0.3669      -0.4074      -0.7743,        998       0.3669      -0.5725      -0.9394,        998       0.3669      -0.6916      -1.0585,        998       0.3669      -0.6751       -1.042,        998       0.3669      -0.2301       -0.597,        998       0.3669      -0.3097      -0.6766
2014.1.6,1953.28,        999       0.3154      -0.0711      -0.3865,        999       0.3154       0.1971      -0.1182,        999       0.3154      -0.1193      -0.4347,        999       0.3154       0.0091      -0.3063,        999       0.3154      -1.5425      -1.8578,        999       0.3154       0.3925       0.0771,        999       0.3154      -0.0363      -0.3517,        999       0.3154      -0.1356       -0.451
2014.1.7,1959.44,       1000      -0.0245       0.5709       0.5954,       1000      -0.0245        0.245       0.2695,       1000      -0.0245        0.351       0.3755,       1000      -0.0245       0.4055         0.43,       1000      -0.0245        0.518       0.5425,       1000      -0.0245       1.5282       1.5527,       1000      -0.0245       0.1987       0.2232,       1000      -0.0245       0.2203       0.2448
2014.1.8,1958.96,       1001       -0.656      -0.4327       0.2233,       1001       -0.656      -0.3072       0.3488,       1001       -0.656      -0.3335       0.3225,       1001       -0.656      -0.0925       0.5635,       1001       -0.656      -0.0565       0.5995,       1001       -0.656      -0.0891       0.5668,       1001       -0.656      -0.1197       0.5363,       1001       -0.656       -0.068       0.5879
2014.1.9,1946.11,       1002       -0.389       0.5387       0.9277,       1002       -0.389      -0.0844       0.3046,       1002       -0.389       0.1939       0.5828,       1002       -0.389      -0.4424      -0.0534,       1002       -0.389       0.2409       0.6299,       1002       -0.389      -0.9123      -0.5233,       1002       -0.389       0.0616       0.4506,       1002       -0.389      -0.0396       0.3493
2014.1.10,1938.54,       1003       0.5355       0.6938       0.1584,       1003       0.5355       0.7336       0.1982,       1003       0.5355        0.681       0.1455,       1003       0.5355       1.0249       0.4895,       1003       0.5355       0.1961      -0.3394,       1003       0.5355      -6.1211      -6.6566,       1003       0.5355       0.4311      -0.1043,       1003       0.5355       0.2428      -0.2927
2014.1.13,1948.92,       1004      -0.1462      -0.5993      -0.4531,       1004      -0.1462      -0.1106       0.0356,       1004      -0.1462      -0.7252       -0.579,       1004      -0.1462      -0.1848      -0.0385,       1004      -0.1462      -0.6781      -0.5318,       1004      -0.1462       0.2913       0.4376,       1004      -0.1462      -0.2023      -0.0561,       1004      -0.1462      -0.1829      -0.0367
2014.1.14,1946.07,       1005       0.3705       0.9814       0.6109,       1005       0.3705       0.4962       0.1257,       1005       0.3705       1.3865       1.0161,       1005       0.3705        0.494       0.1235,       1005       0.3705       0.5498       0.1794,       1005       0.3705        2.508       2.1375,       1005       0.3705       0.5719       0.2014,       1005       0.3705       0.3212      -0.0493
