@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute AEX_Now numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_Open_x numeric
@attribute FTSE_High_x numeric
@attribute FTSE_Low_x numeric
@attribute Brazil_Now numeric
@attribute Brazil_Open numeric
@attribute Brazil_High numeric
@attribute Brazil_Low numeric
@attribute DAX_Now numeric
@attribute DAX_Open numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_High numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_High numeric
@attribute iBovespa_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_Open numeric
@attribute S&P_BMV_High numeric
@attribute S&P_BMV_Low numeric
@attribute OMXS_Low numeric
@attribute Russell_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2013-02-01, 1957.79, 354.35, 356.22, 357.23, 354.0, 6276.88, 6323.11, 6323.11, 6276.88, 59761.49, 59344.44, 59771.23, 59114.02, 7776.05, 7800.45, 7812.34, 7765.2, 1477.74, 1481.39, 59838.0, 59245.0, 59795.0, 59085.0, 45278.06, 45732.64, 45811.51, 45270.75, 1168.25, 895.75, 12685.24, 12760.67, 12794.44, 12682.69, 2562.91, 2520.35
2013-02-04, 1953.21, 355.55, 354.42, 356.88, 354.38, 6347.24, 6276.88, 6353.95, 6275.5, 60351.16, 59764.49, 60496.05, 59742.4, 7833.39, 7792.59, 7853.37, 7784.97, 1494.88, 1501.67, 60348.0, 59980.0, 60580.0, 59710.0, 45768.49, 45278.72, 45775.16, 45278.72, 1167.53, 902.07, 12768.83, 12741.18, 12783.13, 12691.92, 2563.08, 2524.01
2013-02-05, 1938.18, 349.69, 356.03, 356.23, 349.57, 6246.84, 6347.24, 6347.26, 6236.66, 59575.66, 60350.37, 60350.37, 59256.01, 7638.23, 7822.54, 7837.64, 7637.68, 1473.09, 1498.99, 59484.0, 60100.0, 60140.0, 59230.0, 45728.305, 45523.77, 45780.56, 45332.07, 1160.48, 898.36, 12717.62, 12683.73, 12768.83, 12668.81, 2561.54, 2506.23
2013-02-06, 1936.19, 348.43, 350.13, 350.38, 347.99, 6282.76, 6246.84, 6296.47, 6244.07, 59444.97, 59575.66, 59974.37, 59132.34, 7664.66, 7643.54, 7677.14, 7622.3, 1475.91, 1477.7, 59418.0, 59780.0, 59960.0, 59125.0, 45688.12, 45768.82, 45785.96, 45385.42, 1156.82, 899.27, 12745.65, 12740.35, 12786.79, 12717.62, 2524.82, 2494.72
2013-02-07, 1931.77, 345.86, 348.62, 349.53, 345.2, 6295.34, 6282.76, 6321.45, 6265.55, 58951.07, 59441.63, 59582.09, 58587.81, 7581.18, 7665.88, 7694.42, 7537.29, 1473.01, 1483.26, 58924.0, 59295.0, 59630.0, 58555.0, 45570.71, 45680.33, 45727.01, 45518.21, 1168.67, 903.76, 12761.59, 12713.96, 12783.73, 12724.38, 2530.06, 2491.52
2013-02-08, 1950.9, 343.7, 346.7, 347.4, 343.7, 6228.42, 6295.34, 6313.0, 6216.72, 58372.46, 58936.31, 59435.43, 58115.51, 7590.85, 7581.37, 7661.31, 7565.32, 1460.86, 1478.45, 58331.0, 59085.0, 59445.0, 58080.0, 45019.21, 45571.95, 45574.33, 44815.54, 1163.65, 902.82, 12755.92, 12762.49, 12790.11, 12737.22, 2515.67, 2492.04
2013-02-12, 1945.79, 345.13, 344.56, 345.96, 343.66, 6263.93, 6228.42, 6278.07, 6228.42, 58497.83, 58374.1, 58638.39, 58024.56, 7652.14, 7607.57, 7655.31, 7577.34, 1464.75, 1472.07, 58480.0, 58300.0, 58645.0, 57970.0, 45089.36, 45025.2, 45191.72, 44996.15, 1165.52, 908.09, 12801.23, 12773.0, 12823.5, 12756.24, 2509.34, 2488.16
2013-02-13, 1976.07, 346.2, 344.62, 346.2, 343.52, 6338.38, 6277.06, 6338.38, 6259.82, 58451.785, 58434.3, 58696.42, 58138.225, 7660.19, 7619.12, 7661.97, 7593.66, 1470.43, 1473.49, 58457.5, 58475.0, 58695.0, 58130.0, 44873.44, 45076.2, 45079.36, 44852.87, 1166.37, 913.01, 12789.02, 12746.55, 12815.39, 12746.82, 2519.92, 2494.32
2013-02-14, 1979.61, 345.83, 346.36, 347.3, 344.95, 6359.11, 6338.38, 6384.7, 6311.59, 58405.74, 58494.5, 58754.45, 58251.89, 7711.89, 7678.48, 7737.41, 7650.29, 1461.41, 1472.55, 58435.0, 58650.0, 58745.0, 58290.0, 44096.27, 44876.54, 44876.54, 44001.52, 1176.64, 916.79, 12775.28, 12813.5, 12814.53, 12763.44, 2539.79, 2519.8
2013-02-15, 1981.18, 345.84, 345.57, 346.74, 344.04, 6327.36, 6359.11, 6364.72, 6302.0, 58077.31, 58405.74, 58405.74, 57750.7, 7631.19, 7697.89, 7729.36, 7607.48, 1449.63, 1461.79, 58580.0, 58630.0, 58765.0, 58195.0, 43878.28, 44096.27, 44184.31, 43705.46, 1176.98, 918.71, 12721.79, 12769.77, 12775.05, 12699.68, 2563.84, 2531.42
2013-02-18, 1981.91, 343.45, 345.54, 346.23, 343.34, 6328.26, 6327.36, 6352.2, 6309.78, 57903.3, 58075.64, 58352.45, 57801.67, 7593.51, 7636.26, 7649.5, 7588.57, 1442.09, 1452.61, 58369.0, 58445.0, 58920.0, 58235.0, 44152.96, 43878.95, 44219.29, 43816.38, 1180.56, 921.74, 12686.63, 12686.51, 12719.16, 12667.7, 2550.02, 2534.81
2013-02-19, 1985.83, 343.23, 343.22, 343.47, 342.31, 6318.19, 6328.26, 6330.17, 6306.83, 57613.9, 57905.69, 57929.12, 57420.3, 7628.73, 7591.08, 7629.78, 7568.16, 1446.64, 1448.62, 58012.0, 58310.0, 58350.0, 57835.0, 44141.92, 44158.29, 44226.44, 44020.09, 1181.09, 922.43, 12748.419999999998, 12704.335, 12764.685, 12676.94, 2533.52, 2510.9
2013-02-20, 2024.64, 347.63, 342.82, 348.14, 342.5, 6379.07, 6318.19, 6385.14, 6304.4, 57314.4, 57619.38, 58060.89, 57233.95, 7752.45, 7614.1, 7762.9, 7611.6, 1446.57, 1448.61, 57664.0, 58075.0, 58495.0, 57630.0, 44639.76, 44146.9, 44783.36, 44146.9, 1183.79, 923.12, 12810.21, 12722.16, 12810.21, 12686.18, 2559.59, 2517.85
2013-02-21, 2015.22, 343.61, 346.76, 347.02, 342.95, 6395.37, 6379.07, 6412.44, 6368.2, 56177.6, 57312.46, 57568.89, 56034.29, 7728.9, 7747.21, 7784.64, 7709.48, 1435.14, 1449.82, 56483.0, 57665.0, 57980.0, 56675.0, 44299.56, 44641.09, 44641.09, 44263.2, 1191.68, 913.5, 12714.05, 12788.4, 12809.07, 12684.58, 2574.48, 2554.55
2013-02-22, 2018.89, 336.38, 341.01, 341.17, 335.53, 6291.54, 6395.37, 6395.37, 6277.96, 56154.68, 56152.66, 56227.24, 55430.26, 7583.57, 7681.61, 7688.44, 7561.84, 1433.81, 1441.89, 56432.0, 56140.0, 56570.0, 55785.0, 44136.6, 44292.23, 44313.49, 43874.19, 1184.56, 900.48, 12639.97, 12676.24, 12714.05, 12602.54, 2551.13, 2505.58
2013-02-25, 2009.52, 339.87, 337.4, 340.63, 337.17, 6335.7, 6291.54, 6347.25, 6291.49, 56697.06, 56158.58, 56742.25, 56106.88, 7661.91, 7619.81, 7681.12, 7607.26, 1431.48, 1438.64, 56978.0, 56800.0, 57055.0, 56435.0, 43875.73, 44135.92, 44145.96, 43769.24, 1191.26, 905.4, 12701.63, 12660.39, 12707.18, 12641.65, 2551.01, 2519.71
2013-02-26, 2000.01, 340.26, 341.01, 343.94, 338.79, 6355.37, 6335.7, 6390.09, 6323.98, 56617.56, 56697.56, 57157.14, 56418.75, 7773.19, 7731.8, 7860.57, 7726.4, 1419.78, 1445.49, 56810.0, 57200.0, 57500.0, 56700.0, 43497.2, 43867.47, 43943.31, 43467.16, 1197.9, 895.84, 12650.87, 12760.86, 12832.71, 12648.94, 2584.18, 2546.6
2013-02-27, 2004.04, 335.29, 332.99, 337.72, 332.99, 6270.44, 6355.37, 6355.37, 6258.62, 56948.87, 56616.07, 57007.27, 56047.16, 7597.11, 7682.24, 7683.96, 7589.32, 1423.89, 1430.88, 57314.0, 56500.0, 57240.0, 56300.0, 43489.2, 43498.53, 43593.04, 43294.72, 1180.76, 894.24, 12660.44, 12659.68, 12673.0, 12605.78, 2531.71, 2489.6
2013-02-28, 2026.49, 337.37, 336.74, 337.69, 333.16, 6325.88, 6270.44, 6335.9, 6269.26, 57273.88, 56948.35, 57402.28, 56684.5, 7675.83, 7641.84, 7679.44, 7565.78, 1425.8, 1426.34, 57579.0, 57305.0, 57795.0, 56970.0, 43772.89, 43490.18, 43782.41, 43465.18, 1178.53, 899.2, 12732.39, 12624.76, 12738.03, 12624.76, 2546.69, 2508.23
2013-03-04, 2013.15, 340.53, 338.75, 340.82, 337.96, 6360.81, 6325.88, 6372.0, 6325.88, 57424.29, 57273.1, 57798.48, 56925.18, 7741.7, 7712.2, 7753.39, 7691.81, 1416.87, 1428.31, 57630.0, 57400.0, 58160.0, 57210.0, 44120.99, 43774.89, 44193.99, 43615.34, 1192.52, 909.2, 12821.83, 12741.0, 12821.83, 12725.98, 2569.17, 2547.36
2013-03-05, 2016.61, 339.58, 337.91, 340.08, 337.51, 6345.63, 6378.6, 6379.29, 6333.17, 56499.17, 56877.8, 56877.8, 56067.07, 7691.68, 7654.67, 7708.88, 7637.32, 1420.66, 1424.23, 56716.0, 57000.0, 57000.0, 56285.0, 43871.31, 43995.72, 44019.11, 43715.43, 1190.37, 908.64, 12707.41, 12765.8, 12773.12, 12705.02, 2548.12, 2528.67
2013-03-06, 2020.74, 346.5, 341.48, 347.23, 341.36, 6431.95, 6345.63, 6437.34, 6344.78, 55950.73, 56508.07, 57226.86, 55950.73, 7870.31, 7779.62, 7883.6, 7772.33, 1417.4, 1423.0, 56179.0, 56855.0, 57500.0, 56050.0, 44017.12, 43875.97, 44226.07, 43875.97, 1208.55, 916.66, 12736.04, 12783.58, 12820.11, 12707.41, 2594.53, 2557.52
2013-03-07, 2004.4, 347.36, 346.33, 349.08, 346.13, 6427.64, 6431.95, 6460.96, 6418.72, 57940.14, 55953.35, 58149.84, 55953.35, 7919.33, 7907.39, 7977.64, 7898.04, 1409.05, 1418.45, 58119.0, 56745.0, 58285.0, 56640.0, 44159.65, 44017.98, 44257.18, 44007.25, 1208.1, 927.37, 12831.96, 12793.79, 12833.49, 12736.26, 2603.25, 2588.02
2013-03-08, 2006.01, 347.87, 347.95, 349.43, 347.48, 6439.16, 6427.64, 6459.68, 6427.31, 58846.81, 57939.66, 59472.49, 57939.66, 7939.77, 7934.19, 7956.26, 7911.56, 1425.38, 1427.0, 59094.0, 58800.0, 59750.0, 58705.0, 43968.6, 44169.44, 44261.08, 43949.33, 1206.07, 929.37, 12826.52, 12853.52, 12869.64, 12814.31, 2611.31, 2579.51
2013-03-11, 2003.35, 352.43, 349.42, 352.94, 349.15, 6483.58, 6439.16, 6489.54, 6439.16, 58432.75, 58841.63, 59031.27, 58128.87, 7986.47, 7970.66, 8015.07, 7962.28, 1416.38, 1431.13, 58673.0, 59700.0, 59700.0, 58310.0, 44322.51, 43978.93, 44323.62, 43802.78, 1211.4, 934.57, 12835.61, 12833.28, 12843.71, 12795.34, 2632.52, 2609.52
2013-03-12, 1993.34, 351.56, 351.43, 351.95, 350.76, 6503.63, 6483.58, 6505.3, 6473.56, 58544.79, 58440.49, 58546.69, 57800.36, 7984.29, 7967.46, 7989.21, 7954.58, 1427.76, 1433.01, 58798.0, 58285.0, 58495.0, 57965.0, 44013.3, 44322.85, 44322.85, 43794.11, 1212.1, 939.12, 12858.49, 12824.9, 12865.32, 12812.82, 2633.13, 2619.75
2013-03-13, 1999.73, 352.06, 351.17, 352.91, 351.16, 6510.62, 6503.63, 6533.99, 6491.75, 58208.61, 58542.43, 58709.47, 58112.59, 7966.12, 7970.83, 7999.5, 7933.94, 1427.53, 1431.92, 58432.0, 58695.0, 58970.0, 58320.0, 43965.41, 44019.26, 44019.54, 43731.69, 1208.3, 938.22, 12878.58, 12879.87, 12904.71, 12853.9, 2639.94, 2621.44
2013-03-14, 2002.13, 352.02, 351.76, 352.18, 350.83, 6481.5, 6510.62, 6510.62, 6437.61, 57385.9, 58204.14, 58410.67, 57285.74, 7970.91, 7964.77, 7978.84, 7942.37, 1423.55, 1435.41, 57513.0, 58185.0, 58600.0, 57500.0, 43278.11, 43972.75, 43976.76, 43274.99, 1202.99, 938.57, 12744.11, 12873.47, 12878.59, 12725.75, 2632.67, 2614.68
2013-03-15, 1986.5, 355.85, 353.15, 355.85, 352.6, 6529.41, 6481.5, 6532.57, 6478.54, 57281.02, 57385.56, 57850.2, 56722.47, 8058.37, 8013.25, 8060.26, 8011.22, 1440.45, 1443.65, 57368.0, 57700.0, 58025.0, 56840.0, 43348.52, 43278.11, 43644.21, 43035.03, 1214.88, 943.85, 12799.91, 12751.6, 12816.78, 12736.11, 2650.51, 2637.29
2013-03-18, 1968.18, 353.58, 356.16, 356.16, 352.67, 6489.65, 6529.41, 6533.78, 6470.1, 56869.28, 57274.83, 57532.36, 56805.27, 8042.85, 8074.03, 8074.47, 7996.95, 1452.55, 1456.39, 56920.0, 57400.0, 57670.0, 56910.0, 42605.05, 43348.52, 43389.3, 42604.99, 1213.82, 949.48, 12830.03, 12795.24, 12865.95, 12789.95, 2646.03, 2625.31
2013-03-19, 1978.56, 353.01, 348.57, 353.32, 348.57, 6457.92, 6489.65, 6489.65, 6386.17, 56972.96, 56868.76, 57151.85, 56139.18, 8010.7, 7924.04, 8020.91, 7901.94, 1443.86, 1448.64, 57075.0, 56350.0, 57325.0, 56230.0, 42332.83, 42990.49, 43137.355, 42243.15, 1194.83, 941.44, 12781.76, 12788.85, 12830.03, 12759.09, 2624.25, 2580.54
2013-03-20, 1959.41, 352.05, 352.23, 354.33, 350.54, 6441.32, 6457.92, 6474.57, 6414.45, 56361.24, 56972.96, 57037.99, 56099.9, 7947.79, 7980.54, 8000.97, 7919.45, 1433.19, 1444.85, 56365.0, 56845.0, 57030.0, 56180.0, 42060.61, 42632.46, 42885.41, 41881.31, 1195.39, 936.73, 12773.87, 12780.82, 12826.26, 12752.11, 2624.58, 2592.88
2013-03-21, 1950.82, 354.37, 353.76, 355.33, 353.34, 6432.7, 6441.32, 6475.61, 6421.29, 56030.03, 56360.72, 56396.16, 55831.35, 8001.97, 7995.59, 8030.46, 7972.21, 1443.31, 1448.43, 56087.0, 56640.0, 56730.0, 55900.0, 42497.97, 42047.27, 42509.85, 41974.85, 1198.05, 942.84, 12826.55, 12816.31, 12828.55, 12776.02, 2620.65, 2601.94
2013-03-22, 1948.71, 352.41, 354.25, 354.25, 351.33, 6388.55, 6432.7, 6435.59, 6364.0, 55576.67, 56025.39, 56043.7, 55382.45, 7932.51, 7989.59, 7999.34, 7887.67, 1440.17, 1447.24, 55672.0, 56100.0, 56225.0, 55410.0, 42531.07, 42487.52, 42564.63, 42292.65, 1183.63, 941.47, 12747.87, 12826.53, 12831.15, 12747.48, 2621.8, 2594.25
2013-03-25, 1977.67, 350.74, 351.0, 353.15, 349.55, 6392.76, 6388.55, 6426.45, 6374.51, 55243.4, 55576.67, 55893.25, 55097.97, 7911.35, 7917.64, 7953.93, 7876.36, 1453.76, 1456.34, 55323.0, 55815.0, 56040.0, 55120.0, 42686.68, 42560.65, 42726.34, 42454.42, 1179.75, 943.92, 12757.35, 12751.15, 12818.43, 12745.35, 2628.86, 2599.91
2013-03-26, 1983.7, 348.72, 354.04, 354.71, 347.85, 6378.38, 6392.76, 6458.53, 6366.62, 54873.12, 55250.06, 55450.26, 54647.97, 7870.9, 7988.27, 8030.76, 7847.97, 1428.95, 1460.91, 54862.0, 55600.0, 55750.0, 54660.0, 42900.83, 42686.02, 42902.77, 42591.47, 1191.5, 941.18, 12680.71, 12783.74, 12788.41, 12668.62, 2646.5, 2589.07
2013-03-27, 1993.44, 349.27, 349.65, 350.07, 347.98, 6399.37, 6378.38, 6404.52, 6369.58, 55671.39, 54878.68, 55763.34, 54878.68, 7879.67, 7889.15, 7912.52, 7859.27, 1424.05, 1431.59, 55758.0, 54800.0, 55720.0, 54740.0, 43664.73, 42904.83, 43666.45, 42904.83, 1192.35, 945.3, 12706.38, 12686.65, 12709.84, 12651.31, 2602.21, 2580.54
2013-03-28, 1993.52, 346.16, 350.63, 350.69, 344.81, 6387.56, 6399.37, 6420.9, 6344.19, 56034.29, 55676.78, 56177.85, 55129.57, 7789.09, 7905.96, 7916.76, 7750.38, 1421.01, 1429.47, 56063.0, 55390.0, 56270.0, 55140.0, 44077.09, 43665.72, 44087.34, 43408.35, 1185.06, 940.29, 12699.65, 12673.6, 12712.41, 12622.5, 2608.01, 2562.35
