@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_High numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_Open numeric
@attribute EUR_USD_High numeric
@attribute EUR_USD_Low numeric
@attribute AEX_Low numeric
@attribute IDR_KRW_High numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute GAS_Open numeric
@attribute GAS_High numeric
@attribute Brazil_Now numeric
@attribute Brazil_High numeric
@attribute Brazil_Low numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute DAX_Now numeric
@attribute DAX_Open numeric
@attribute DAX_Low numeric
@attribute RTSI_Open numeric
@attribute RTSI_High numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Open numeric
@attribute UK_10_YEAR_High numeric
@attribute Nifty_Open numeric
@attribute Nifty_Low numeric
@attribute S&P_Now numeric
@attribute S&P_Open numeric
@attribute Copper_Open numeric
@attribute Copper_High numeric
@attribute Copper_Low numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_Open numeric
@attribute SANGHAI_High numeric
@attribute SANGHAI_Low numeric
@attribute EUR_KRW_Open numeric
@attribute EUR_KRW_High numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_Open numeric
@attribute HKD_KRW_High numeric
@attribute HKD_KRW_Low numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_Low numeric
@attribute CHF_KRW_High numeric
@attribute CHF_KRW_Low numeric
@attribute USD_CAD_Now numeric
@attribute USD_CAD_Open numeric
@attribute USD_CAD_High numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_High numeric
@attribute INR_KRW_High numeric
@attribute INR_KRW_Low numeric
@attribute WTI_Open numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_Open numeric
@attribute NIKKEI_Open numeric
@attribute NIKKEI_High numeric
@attribute SOUTH_KOREA_10_YEAR_Now numeric
@attribute SOUTH_KOREA_10_YEAR_Open numeric
@attribute SOUTH_KOREA_10_YEAR_High numeric
@attribute SOUTH_KOREA_10_YEAR_Low numeric
@attribute SMI_Open numeric
@attribute SMI_Low numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_High numeric
@attribute US_COFFEE_Now numeric
@attribute US_COFFEE_High numeric
@attribute OMXS_High numeric
@attribute EUR_GBP_Open numeric
@attribute EUR_GBP_High numeric
@attribute EUR_GBP_Low numeric
@attribute BRENT_OIL_Now numeric
@attribute BRENT_OIL_High numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_Open numeric
@attribute GBP_KRW_Low numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Now numeric
@attribute Russell_Open numeric
@attribute Russell_High numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_Low numeric
@attribute Gold_Now numeric
@attribute Gold_Low numeric
@attribute IBEX_High numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_High numeric
@attribute Corn_Now numeric
@attribute Corn_High numeric
@attribute Corn_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute IDX_High numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute CSE_Now numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute CAD_KRW_Now numeric
@attribute CAD_KRW_High numeric
@attribute CAD_KRW_Low numeric
@attribute USD_KRW_Open numeric
@attribute TA_Now numeric
@attribute TA_Open numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_Open numeric
@attribute Tadawul_Open numeric
@attribute SET_Now numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_High numeric
@attribute HEATING_OIL_Low numeric
@attribute ITALY_10_YEAR_Now numeric
@attribute USD_JPY_Open numeric
@attribute USD_JPY_High numeric
@attribute USD_JPY_Low numeric
@attribute Silver_Now numeric
@attribute Silver_Open numeric
@attribute Silver_High numeric
@attribute US_WHEAT_Open numeric
@attribute US_WHEAT_High numeric
@attribute US_WHEAT_Low numeric
@attribute AUS_10_YEAR_High numeric
@attribute AUS_10_YEAR_Low numeric
@attribute BEL_Now numeric
@attribute BEL_Open numeric
@attribute BEL_High numeric

@data
2015-1-2, 10.85, -0.08, 0.0005, -0.0031, -0.0033, -0.0019, -1.3, -0.0225, 0.05, 0.02, 0.115, -0.029, -586.41, -61.72, -15.1, -0.023, -121.58, -31.77, 30.1, -53.05, -31.64, -36.33, 12.15, -30.26, -0.03, -0.024, 45.6, 5.85, -10.22, 0.86, 0.005, 0.018000000000000002, -0.012, -2.21, -51.76, -33.56, 3.41, -2.81, -3.73, -29.47, -7.65, 0.025, -0.22, -0.046, -0.026, -2.5, -3.31, -0.0022, 0.0015, 0.0002, -0.049, -0.006, -70.0, 0.0287, -0.0212, -1.33, -0.2, -168.89, 173.9, -212.43, -200.79, -0.012, -0.047, -0.042, -0.012, -28.76, -25.0, -55.16, -38.02, -0.35, -2.2, -3.04, -0.0001, -0.0009, -0.0011, 0.02, -2.04, -0.63, -5.21, -5.12, 0.0023, -6.06, 0.6, -2.5, 5.64, -0.34, 19.0, 19.0, -80.9, 0.0045, -0.0013, -6.25, -4.25, -4.75, -118.06, -324.7, -168.27, 227.49, 41.29, -0.07400000000000001, -0.052000000000000005, -0.085, 3.74, -0.019, -1.08, -0.14, -2.17, 1.7, -4.41, -8.96, -27.1, 0.0629, -0.0179, -1.03, -0.55, -7.09, 0.0197, -0.0548, -0.0129, -0.102, 0.28, -0.04, -1.3, 0.496, -0.105, 0.405, 2.25, -5.25, -7.0, -0.029, -0.062, -38.72, 3.12, -8.53
2015-1-5, -10.69, -0.03, -0.0154, -0.0045, -0.0077, -0.0122, -1.21, 0.0395, 1.49, -0.77, -0.32299999999999995, -0.08199999999999999, -1495.19, -836.74, -1647.65, 0.029, -40.82, -13.97, -118.29, 5.685, -3.375, 19.525, -17.51, 5.89, -0.052000000000000005, -0.038, 28.4, 68.15, -22.15, -29.59, -0.019, -0.032, 0.0, 92.355, 48.915, 89.49, 61.765, -14.78, -4.79, -50.63, -33.37, 0.835, -0.37, -0.002, -0.065, -4.11, -8.72, 0.0172, -0.002, 0.0135, 0.001, -0.043, -1020.0, 0.1557, 0.0204, 0.04, -0.67, -903.28, -33.05, -188.22, -86.42, 0.064, 0.011, 0.048, 0.021, -6.49, -17.11, -150.08, -83.24, -3.75, 0.8, -3.72, -0.0045, -0.0011, -0.0065, -1.48, 0.15, -1.26, -8.24, -4.56, 0.0, -14.25, -6.3, -5.9, -1.89, 3.02, -14.2, -16.9, 74.9, -0.0231, 0.0012, -10.75, -14.25, -14.5, 118.3, 155.12, 63.4, -74.26, 20.99, -0.087, -0.115, -0.08, 57.06, 0.006999999999999999, -5.38, 4.21, -1.98, -7.57, 2.525, 2.81, 29.56, 0.0048, 0.0014, -249.21, -7.21, -1.715, -0.0731, -0.0025, -0.047, -0.12, -0.87, 0.04, 0.87, -0.506, -0.055, -0.54, -25.37, -26.0, -26.25, -0.058, -0.059, 5.2, -8.15, -4.33
2015-1-6, -33.3, -0.054000000000000006, -0.0069, -0.0103, -0.0103, -0.0118, -9.86, -0.054000000000000006, 0.07, 2.28, 0.231, 0.08, -995.4, -1492.28, -1081.35, -0.068, -291.57, -133.48, -218.68, 5.685, -3.375, 19.525, -17.51, 5.89, -0.052000000000000005, -0.042, 119.25, 75.2, -37.62, -4.46, -0.013, -0.013, -0.049, 92.355, 48.915, 89.49, 61.765, 6.23, -3.48, -74.24, -59.9, 0.685, 1.7, -0.098, -0.075, -2.06, -1.16, -0.002, 0.0166, 0.0033, -0.047, -0.001, -1495.0, 0.0815, 0.2144, -1.15, -2.35, -1016.1, -1011.86, -188.22, -86.42, -0.033, 0.017, -0.011, 0.005, -6.49, -17.11, -331.34, -130.48, 7.05, 1.4, -4.92, 0.0043, 0.0015, 0.0005, -3.31, -2.24, -2.82, -1.5, -12.2, -0.0022, -17.43, -18.2, -19.1, -0.76, -1.87, 15.8, 18.5, -49.5, -0.0078, -0.025, 10.25, 8.25, 3.0, -941.82, -195.69, -56.52, -731.21, -14.28, 0.045, 0.012, -0.004, 35.875, 0.006999999999999999, 4.24, -5.69, -2.77, 14.17, 2.525, 2.81, -291.85, 0.0921, 0.0679, -249.21, -7.21, -1.715, -0.0465, -0.0781, -0.0485, 0.048, 0.68, -0.11, -0.33, 0.445, 0.389, 0.364, -9.5, 8.0, 4.5, -0.069, -0.061, -73.46, -26.7, 3.27
2015-1-7, 1.38, -0.077, -0.0045, -0.006999999999999999, -0.0039, 0.0001, -4.19, -0.043, -1.55, 0.1, -0.155, -0.221, 484.1, -450.94, 73.8, -0.08900000000000001, -3.5, -251.4, -85.76, -30.77, -34.06, 45.07, 40.73, 40.07, -0.063, -0.106, -82.65, -252.55, -17.97, -32.29, -0.034, -0.023, 0.004, 0.93, 72.17, 24.94, 49.3, -4.15, -5.31, -59.83, -33.49, -0.305, -1.03, -0.065, -0.14, -4.08, -9.51, 0.0072, -0.0016, 0.002, 0.008, -0.05, -205.0, -0.0518, -0.1997, -2.61, -2.13, 230.04, -1033.65, -224.1, -429.56, -0.077, -0.044, -0.058, -0.079, -53.93, -71.06, -130.01, -240.25, 6.8, 6.75, -13.19, -0.0006, 0.0025, 0.0069, -2.01, -2.7, -2.14, -4.59, -19.63, 0.0038, -20.05, -8.5, -10.4, -3.09, -1.74, 8.7, 8.7, -330.0, -0.0099, -0.0062, -1.0, 2.75, 7.75, -45.18, -662.77, -666.5, -147.12, -38.86, 0.056, 0.048, 0.046, 35.875, -0.011, -15.01, -1.07, -8.41, 3.03, 1.19, -9.04, -177.52, 0.004, 0.0919, -250.13, -5.67, -23.65, -0.023, -0.0367, -0.0361, 0.022, -0.85, -1.0, -1.34, 0.424, 0.424, 0.424, 7.87, 6.12, 7.0, -0.07, -0.036000000000000004, -17.91, -56.87, -79.76
2015-1-8, 20.82, -0.006, -0.005, -0.0041, -0.0071, -0.0081, 2.3, -0.0865, -0.04, -1.54, 0.028, 0.057, 1461.99, 1820.98, 668.34, -0.117, 48.52, 26.09, 76.36, -4.47, 33.645, 33.33, 23.365, 25.715, -0.073, -0.026, -206.65, -45.9, 23.29, -16.6, -0.003, 0.003, -0.002, 22.5, -4.15, -19.32, 9.03, -17.76, -14.95, 57.73, -40.01, -0.79, -0.22, -0.093, 0.039, -12.24, -4.88, -0.0022, 0.0072, 0.0035, -0.043, -0.01, 1680.0, -0.0753, -0.026, -2.0, -0.72, 484.52, 230.11, -293.32, -136.75, 0.01, -0.053, -0.033, -0.014, -67.86, -5.66, 212.88, 16.03, 0.15, 7.45, -13.19, 0.0024, -0.0019, -0.0005, 0.05, -1.76, -0.86, -27.43, -6.77, -0.0014, 14.65, -13.3, -8.0, 2.42, 1.09, -8.6, -8.6, -9.6, -0.004, -0.0118, -8.75, -2.25, -6.5, -19.81, -71.83, -45.63, -49.56, 12.58, 0.103, 0.099, 0.048, 18.38, -0.032, 1.38, -10.96, -2.92, -10.93, 3.5, 5.95, 103.73, -0.0684, 0.0032, -49.37, 23.17, 19.04, -0.0263, -0.0373, -0.031, 0.1, -1.21, 0.0, 0.31, -0.093, -0.123, -0.053, 6.63, -9.12, -7.5, -0.059, -0.073, 3.59, -0.85, -12.82
2015-1-9, 20.05, 0.038, -0.0046, -0.0053, -0.005, -0.005, 6.84, -0.0425, -0.56, -0.03, -0.07200000000000001, -0.044, 480.39, 378.46, 1011.26, 0.05, 319.43, 133.43, 148.72, -4.47, 33.645, 33.33, 23.365, 25.715, 0.03, 0.022, 72.75, 101.85, 36.24, 25.06, 0.004, 0.008, -0.003, -80.49, 45.31, 6.67, -27.11, -5.91, -5.92, 85.72, 62.7, -0.24, -0.05, 0.032, 0.042, -4.76, -9.74, 0.0017, -0.0023, -0.003, 0.021, 0.042, 355.0, 0.0712, 0.0983, 0.78, 0.9, 588.38, 487.92, 259.14, 269.1, -0.003, 0.019, 0.028, 0.023, 100.56, 119.46, 323.35, 318.96, 1.85, -0.5, 16.86, -0.0012, 0.0001, -0.0009, -0.19, 0.07, 0.15, -4.89, -9.9, 0.0037, 20.16, 15.2, 20.4, 1.94, 0.32, -2.0, -2.0, 91.8, -0.0023, -0.0039, -2.0, -8.5, -3.0, 668.38, 166.57, 379.55, 256.19, 22.8, -0.042, -0.001, 0.066, 59.08, 0.015, -3.94, -0.67, 0.17, -0.26, 7.42, 7.05, 102.87, -0.0581, -0.0675, 75.96, 20.87, 35.92, 0.0111, -0.0061, 0.0051, -0.078, 0.83, 0.33, 0.78, -0.159, -0.129, -0.199, -13.88, -13.88, -12.88, 0.066, 0.046, 89.39, 23.16, 69.63
2015-1-12, -3.75, 0.003, 0.0048, -0.0046, 0.0, 0.001, -2.68, 0.002, -1.4, -0.57, 0.08199999999999999, 0.022, -1103.05, -306.02, -516.65, 0.016, -189.11, 170.22, -6.15, 63.98, -2.17, -32.02, 65.49, 14.06, 0.017, -0.01, 94.05, 23.5, -17.33, 32.84, 0.008, -0.009000000000000001, 0.001, -8.05, -94.99, 23.26, -17.59, -8.74, -10.61, -32.12, 54.93, -0.635, -1.2, 0.042, -0.025, -8.96, -3.98, 0.0036, 0.0015, 0.0045, 0.021, 0.005, -585.0, 0.0263, 0.0802, 0.14, -0.57, -19.9, 574.13, 251.34, 98.94, -0.02, 0.003, -0.017, -0.024, 134.9, 94.36, -170.5, -0.72, 3.15, 1.5, 2.82, -0.002, -0.0029, -0.0021, -0.85, -0.47, -0.91, -7.29, -3.85, 0.0039, -10.46, 9.0, -2.2, 1.46, 2.21, 5.8, 5.8, -63.0, 0.0072, 0.0059, 6.0, 2.75, 0.25, -614.74, 291.58, -8.46, -195.14, 10.06, 0.046, 0.026, 0.002, 108.19, -0.009000000000000001, -11.02, -4.98, -11.17, -3.23, -3.275, 1.12, -43.43, 0.0056, -0.0593, 155.87, 7.8, 8.57, -0.008, 0.0152, -0.0013, 0.034, 0.43, -0.06, -0.73, 0.035, 0.035, 0.035, -12.5, -6.62, -3.87, -0.002, 0.034, -35.03, 38.74, 14.07
2015-1-13, -3.81, -0.045, -0.0007, 0.0045, 0.0023, 0.0023, 0.87, -0.003, -0.33, -1.51, -0.042, -0.056, -700.51, -1114.97, -544.81, -0.08800000000000001, 133.4, -116.53, 20.57, -33.62, -41.18, -2.15, -32.38, 7.42, -0.027000000000000003, -0.027000000000000003, 5.9, 54.8, -16.55, -17.32, -0.011, -0.015, -0.043, -56.09, -18.76, -129.64, -75.93, -6.55, -4.04, -39.36, -30.4, -1.135, -0.58, -0.054000000000000006, -0.041, -3.32, -4.15, 0.0107, 0.0037, 0.0086, -0.013, -0.013, -695.0, -0.0669, -0.0709, -0.73, -1.54, -601.63, -19.36, -173.93, -127.47, -0.092, -0.053, -0.053, -0.084, 32.5, 27.36, -96.53, -121.44, -3.3, 1.05, -0.88, -0.0006, 0.0004, 0.0002, -2.68, -1.46, -1.74, -4.21, -7.28, 0.0037, -5.6, -6.7, -7.5, -7.85, -3.31, 15.8, 15.8, -197.9, 0.0011, 0.0017, 1.75, 5.5, -3.0, 172.06, -374.41, -419.52, -21.05, -19.99, -0.093, -0.019, -0.044, -39.09, -0.009000000000000001, -10.72, -10.53, -9.99, -10.4, -3.275, 1.12, -202.77, -0.0123, 0.0054, 155.87, 1.79, -0.58, -0.0489, -0.0252, -0.0282, -0.084, -1.16, -0.57, -0.32, 0.149, 0.149, 0.149, -4.0, -7.5, -7.25, -0.017, -0.039, 9.79, -15.07, -11.59
2015-1-14, -3.48, -0.036000000000000004, -0.0062, -0.0005, -0.0011, -0.0033, 1.19, -0.036000000000000004, -0.49, -0.23, -0.102, 0.037000000000000005, -98.07, 99.68, 85.82, -0.071, 159.1, 62.11, 132.7, -21.22, -20.82, 19.87, -2.02, -4.03, -0.07200000000000001, -0.019, 54.8, 22.3, -5.23, -14.55, -0.033, -0.033, -0.11, 5.98, -34.67, -15.8, 22.83, -4.1, -4.77, -3.21, -5.33, -0.185, -0.45, -0.059, -0.038, -3.8, -8.66, -0.0017, 0.0111, 0.0019, -0.014, -0.01, -205.0, 0.0231, 0.022, -2.5, -1.42, -302.52, -592.77, -173.93, -127.47, -0.019, -0.08199999999999999, -0.069, -0.029, -18.41, 17.51, -27.16, 129.13, 0.2, -6.0, 8.74, -0.001, -0.0001, -0.003, -0.84, -2.69, -1.97, -6.11, -3.19, -0.0011, 0.56, 3.0, 15.2, 3.17, -1.74, 1.3, 1.3, 114.0, -0.0012, -0.0002, -16.25, -0.5, -5.5, 359.78, -58.88, 360.71, 197.58, -3.03, -0.005, -0.093, -0.029, -16.85, -0.009000000000000001, -2.01, -9.6, -3.65, -2.39, 11.8, -2.72, -47.43, -0.0008, -0.013, -8.42, 3.76, -7.09, -0.0211, -0.0535, -0.044, -0.012, -0.17, -0.49, -0.55, 0.59, 0.465, 0.465, -7.87, 0.25, -7.5, -0.073, -0.058, 51.66, -6.75, 38.01
2015-1-15, 0.48, -0.045, 0.0017, -0.0061, -0.0014, -0.0027, 2.05, -0.013, 0.71, -0.48, 0.139, 0.366, -395.8, -658.59, -669.4, -0.022, -123.92, 51.13, 13.08, -17.08, -13.76, 21.37, 18.44, 25.25, 0.004, -0.028, -38.9, -31.25, -11.76, -13.18, -0.112, -0.112, -0.136, -12.86, 18.8, 9.09, -20.43, -11.24, -1.55, -22.18, -97.98, -0.05, -0.08, -0.005, -0.08, -1.33, -0.63, -0.0006, -0.0018, 0.0023, -0.021, -0.032, -595.0, -0.0282, 0.016, 0.47, 0.81, -494.04, -302.66, -9.06, -50.99, -0.061, 0.011, -0.004, -0.052000000000000005, 70.3, 53.98, -186.59, -313.95, 2.9, 5.9, -9.17, -0.0034, -0.0049, -0.0023, 2.1, 1.92, 0.4, -7.27, 0.08, -0.0079, -3.57, -22.9, -24.0, 5.78, 4.33, -10.0, -10.0, 17.7, 0.0073, 0.0077, -4.75, -20.25, -8.5, -298.25, 200.07, 58.63, 171.32, 7.8, -0.068, 0.02, -0.055, -11.99666667, -0.005, 3.81, 0.72, 0.14, -3.94, -9.39, 4.13, -182.38, 0.081, 0.0007, 54.97, -11.73, 6.73, 0.0222, 0.0086, -0.0141, -0.049, -0.4, -0.88, -1.48, -0.16899999999999998, -0.1, -0.1, -7.63, -17.0, -11.25, 0.006999999999999999, -0.01, -35.61, 29.24, -14.0
