@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_Open numeric
@attribute EUR_USD_High numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_Low_x numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_Low numeric
@attribute GAS_Now numeric
@attribute GAS_Low numeric
@attribute Brazil_Open numeric
@attribute Brazil_Low numeric
@attribute HONH_KONG_10_YEAR_High numeric
@attribute DAX_Now numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute RTSI_High numeric
@attribute RTSI_Low numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Open numeric
@attribute UK_10_YEAR_High numeric
@attribute S&P_Now numeric
@attribute S&P_Open numeric
@attribute S&P_High numeric
@attribute S&P_Low numeric
@attribute Copper_Low numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_Open numeric
@attribute SANGHAI_High numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_Open numeric
@attribute NASDAQ_Now numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_High numeric
@attribute FRANCE_10_YEAR_Now numeric
@attribute FRANCE_10_YEAR_Open numeric
@attribute FRANCE_10_YEAR_High numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_High numeric
@attribute CHF_KRW_Now numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_High numeric
@attribute INR_KRW_Low numeric
@attribute WTI_High numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_High numeric
@attribute S&P_BMV_Low numeric
@attribute NIKKEI_Now numeric
@attribute NIKKEI_Open numeric
@attribute SOUTH_KOREA_10_YEAR_Now numeric
@attribute SOUTH_KOREA_10_YEAR_Open numeric
@attribute SOUTH_KOREA_10_YEAR_High numeric
@attribute SOUTH_KOREA_10_YEAR_Low numeric
@attribute SMI_Now numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_Open numeric
@attribute US_COFFEE_Open numeric
@attribute AUD_KRW_Open numeric
@attribute AUD_KRW_High numeric
@attribute EUR_GBP_Now numeric
@attribute EUR_GBP_Open numeric
@attribute EUR_GBP_High numeric
@attribute EUR_GBP_Low numeric
@attribute BRENT_OIL_Now numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_Open numeric
@attribute GBP_KRW_High numeric
@attribute AUD_SGD_Now numeric
@attribute AUD_SGD_Open numeric
@attribute Russell_Now numeric
@attribute Russell_Open numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_Low numeric
@attribute Gold_Low numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_Open numeric
@attribute Corn_Open numeric
@attribute Corn_High numeric
@attribute Corn_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute IDX_Now numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute NZD_USD_Low numeric
@attribute CSE_Open numeric
@attribute CSE_High numeric
@attribute CSE_Low numeric
@attribute JAPAN_10_YEAR_High numeric
@attribute CAD_KRW_Now numeric
@attribute CAD_KRW_Open numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Open numeric
@attribute TA_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_Open numeric
@attribute Tadawul_Now numeric
@attribute Tadawul_Open numeric
@attribute Tadawul_High numeric
@attribute SET_Open numeric
@attribute SET_High numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_High numeric
@attribute ITALY_10_YEAR_Now numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute ITALY_10_YEAR_High numeric
@attribute ITALY_10_YEAR_Low numeric
@attribute USD_JPY_Now numeric
@attribute USD_JPY_High numeric
@attribute Silver_Open numeric
@attribute US_WHEAT_Open numeric
@attribute US_WHEAT_High numeric
@attribute AUS_10_YEAR_Now numeric
@attribute BEL_Now numeric

@data
2007-1-11, 9.52, 0.001, 0.001, 0.001, 0.001, -0.0063, -0.0021, -0.0046, -1.14, -3.77, -35.4, -48.4, -0.11, 0.31, 0.4, 0.124, 0.3, -830.15, -171.75, 0.023, -47.81, -72.94, -75.62, -108.23, -47.4, -38.84, 0.01, 0.01, 2.74, -4.14, 0.38, -0.1, 0.052000000000000005, 17.78, 127.06, 32.35, -6.88, -1.15, 15.5, -0.115, 0.315, 0.028, 0.028, 0.028, 0.028, 0.028, -3.96, 0.042, 0.042, 0.042, -910.0, -0.0652, -0.39, -0.44, -388.34, -227.6, -295.37, 173.53, 0.01, 0.01, 0.01, 0.01, -12.4, 25.56, -7.77, -1.3, 1.4, -0.69, -0.0007, -0.0019, -0.0013, -0.0007, -1.49, -0.55, 2.85, -1.96, -0.0065, -0.0001, 0.54, -1.32, 4.45, -0.25, -0.17, 4.6, -0.0076, 0.0017, -8.0, 0.5, -1.5, -206.0, -298.0, -186.0, -293.0, -70.51, 0.01, 0.01, -0.0029, -4.55, 14.76, 0.97, 0.02, -0.74, -0.29, -0.75, 1.95, -20.41, -78.93, -0.21, -0.0227, -0.0305, -143.3, -3.06, -3.06, -23.32, -14.32, -7.52, -0.031, -0.001, 0.028, 0.028, 0.028, 0.028, 0.25, 0.24, 0.15, -8.0, -6.5, 0.005, -20.28
2007-1-12, 23.06, 0.018000000000000002, 0.018000000000000002, 0.018000000000000002, 0.018000000000000002, -0.0041, -0.0065, 0.0008, 1.6, 6.12, 69.4, -11.8, 0.34, 0.02, 0.1, -0.463, -0.34, 334.76, 673.82, 0.032, 120.74, 102.77, 40.34, 10.14, 20.09, 27.68, 0.008, 0.008, 8.97, 6.14, 11.13, 9.52, 0.093, -55.47, -18.74, -0.56, -2.34, -7.13, 25.52, 0.14, -0.17, 0.011, 0.011, 0.011, 0.049, 0.049, -0.33, 0.003, 0.003, 0.003, 850.0, -0.0417, -1.08, -1.64, 336.57, 450.82, -104.23, -233.85, 0.0, 0.0, 0.0, 0.0, 126.31, 72.82, 25.96, 2.15, -4.1, 1.37, -0.0067, -0.0009, -0.0003, -0.0065, -1.99, -1.44, -8.02, 10.57, 0.0142, -0.006, 9.58, 3.72, 6.36, 0.82, 0.67, 0.8, 0.0143, -0.0069, 8.0, 16.75, 9.5, 582.0, 124.0, 388.0, 126.0, -6.53, 0.01, 0.01, 0.0005, 16.3, 31.67, 17.43, -0.02, 0.73, 0.61, 1.1, 0.1, 0.84, 119.93, 40.58, -0.0429, -0.0271, -112.04, -220.2333333, -159.8066667, 15.82, 17.2, 17.51, -0.0451, -0.0156, 0.013, 0.013, 0.013, 0.013, 0.8, 0.86, 0.025, -2.5, 7.0, 0.005, 67.71
2007-1-15, 2.59, 0.037000000000000005, 0.037000000000000005, 0.037000000000000005, 0.037000000000000005, 0.0024, -0.0046, -0.006999999999999999, 3.94, 2.99, 8.9, 74.1, 0.09, 0.45, 0.22, 0.309, -0.04, 333.81, 585.47, 0.094, 17.87, 9.43, 88.36, -2.68, 24.2, 24.77, 0.044, 0.044, 6.91, 8.98, 4.11, 7.74, -0.036000000000000004, -102.0, -74.05, -59.15, 3.67, -3.06, 17.97, 0.135, 0.275, 0.006999999999999999, 0.006999999999999999, 0.006999999999999999, 0.044, 0.044, 1.58, 0.01, 0.01, 0.01, 30.0, 0.1081, -1.62, -0.24, 44.59, 240.21, 218.84, 21.16, 0.07, 0.07, 0.07, 0.07, 44.9, 41.1, 71.7, -0.75, 4.17, 0.5, -0.0033, -0.0066, -0.0067, -0.0033, 1.25, 0.11, 13.38, 8.45, 0.0014, 0.0128, 5.81, 8.61, 8.37, 2.15, 2.15, 3.8, 0.0127, 0.0124, 15.0, 16.25, 12.25, 169.0, 424.0, 171.0, 521.0, -25.8, 0.036000000000000004, 0.036000000000000004, 0.0017, 34.86, 44.56, 34.85, 0.02, 6.27, -1.54, 1.1, 2.1, 8.145, 108.84, 66.77, 0.0205, -0.0465, -112.04, -220.2333333, -159.8066667, 21.49, 9.01, 16.26, 0.0232, -0.0428, 0.003, 0.003, 0.003, 0.003, -0.18, 0.08, 0.423, 8.25, 22.0, 0.025, 12.31
2007-1-16, -1.25, 0.029, 0.029, 0.029, 0.029, 0.0019, 0.0036, 0.0013, 5.44, 2.8, 24.5, 34.7, -0.14, -0.3, -0.28, 0.0185, 0.128, 425.71, 349.33, 0.028, 26.57, 41.13, 59.58, 44.66, 4.94, 10.17, 0.046, 0.046, 0.585, 3.455, 1.35, 3.02, -0.0345, 126.59, -85.25, 13.3, -0.5, 4.93, -2.52, -0.185, -0.355, 0.038, 0.038, 0.038, -0.13699999999999998, -0.13699999999999998, -1.73, 0.034, 0.034, 0.034, 400.0, 0.0776, 0.22, -0.515, 148.77, 221.66, 152.91, 180.52, 0.0, 0.0, 0.0, 0.0, 68.84, 13.255, 20.59, 0.55, 4.51, 0.98, -0.0009, -0.0032, -0.0035, -0.0015, 0.17, 0.89, 16.15, 2.58, -0.0004, 0.0045, -1.39, 3.085, 0.88, -1.04, -0.86, 4.2, 0.0066, 0.0147, 19.75, 10.0, 14.125, 196.0, 360.0, 244.0, 230.0, 52.43, -0.008, -0.008, 0.003, 21.93, 32.495, 21.935, 0.01, 0.15, 6.95, -1.55, -3.65, 8.145, 73.47, 158.91, -0.0236, 0.0171, -112.04, -220.2333333, -159.8066667, 1.52, 8.49, 6.28, -0.01165, 0.0049, 0.037000000000000005, 0.037000000000000005, 0.037000000000000005, 0.037000000000000005, 0.16, -0.14, -0.129, 10.625, -1.0, 0.015, 8.22
2007-1-17, -10.23, 0.0, 0.0, 0.0, 0.0, -0.0017, 0.0014, 0.0033, 1.06, 0.61, -47.8, -32.6, -0.33, -0.23, 0.0, 0.0185, 0.128, -179.58, -459.35, 0.014, -14.92, 0.33, -14.32, 29.65, 48.9, 44.68, 0.003, 0.003, 0.585, 3.455, 1.35, 3.02, -0.0345, 26.32, 158.59, 35.47, -5.35, -0.59, -2.52, -0.43, -0.19, -0.006999999999999999, -0.006999999999999999, -0.006999999999999999, 0.107, 0.107, -2.09, -0.005, -0.005, -0.005, -700.0, -0.0269, 0.22, -0.515, 3.11, 20.54, -7.46, 30.65, -0.01, -0.01, -0.01, -0.01, -28.65, 13.255, 20.59, 0.55, -1.66, -1.79, 0.0001, -0.0008, 0.0005, 0.0007, -0.86, -0.61, 1.76, -1.78, -0.0035, -0.002, -1.39, 3.085, 0.88, -0.71, -0.74, 4.2, -0.0041, 0.0048, 19.75, 10.0, 14.125, -192.0, 15.0, 8.0, -21.0, 23.82, -0.015, -0.015, 0.0029, 21.93, 32.495, 21.935, -0.006999999999999999, -9.34, 0.04, -2.95, -1.05, 6.35, -16.18, 0.78, -0.0367, -0.0161, -126.61, 181.28, 0.0, 9.19, 3.94, 4.56, -0.01165, 0.0049, -0.009000000000000001, -0.009000000000000001, -0.009000000000000001, -0.009000000000000001, 0.19, 0.18, -0.129, 10.625, -1.0, 0.015, -25.83
2007-1-18, 3.73, -0.002, -0.002, -0.002, -0.002, 0.0019, -0.0022, -0.004, -0.06, -0.67, -11.2, -42.9, 0.41, -0.14, 0.06, -0.404, -0.256, -289.8, -163.46, 0.029, -15.12, -14.32, -32.45, -21.92, -39.29, -38.94, -0.012, -0.012, -1.28, 1.04, 1.34, -0.05, -0.01, -42.12, 9.74, 39.62, 3.38, -5.72, -18.36, 0.13, -0.12, -0.016, -0.016, -0.016, 0.032, 0.032, 1.5, -0.016, -0.016, -0.016, 20.0, -0.0176, -1.15, -0.25, 123.44, 48.38, 58.89, -37.65, 0.02, 0.02, 0.02, 0.02, 31.6, -5.44, 7.69, -0.1, -3.58, 1.59, -0.0019, -0.0001, -0.0015, -0.0022, 0.52, -1.29, -8.69, 3.85, 0.0053, -0.004, -2.71, -4.47, -1.09, 1.61, 1.58, 5.9, 0.0086, -0.0031, -13.75, 4.0, 0.0, -366.0, -154.0, -152.0, -485.0, 4.19, -0.014, -0.014, -0.0054, 64.78, 16.65, 64.78, -0.035, 3.55, -8.54, 1.35, -1.35, -10.86, -9.06, -28.22, 0.0115, -0.037000000000000005, 29.99, -126.61, -96.62, -2.96, -2.81, -2.12, 0.0195, -0.0138, -0.026, -0.026, -0.026, -0.026, 0.0, 0.12, 0.273, -16.25, -4.5, -0.025, -3.42
2007-1-19, -22.65, 0.025, 0.025, 0.025, 0.025, 0.0016, 0.0025, 0.0026, 0.83, 2.59, 5.8, 41.0, 0.05, 0.3, 0.18, 0.09, -0.05, 115.17, 154.63, 0.09, -12.08, 5.67, -11.71, -20.13, -0.78, 8.15, 0.008, 0.008, -4.25, -1.18, -2.31, -4.36, -0.035, -21.92, -67.46, -86.38, 1.7, 3.42, -36.21, -0.13, -0.06, 0.015, 0.015, 0.015, -0.036000000000000004, -0.036000000000000004, -0.16, 0.0, 0.0, 0.0, 460.0, -0.0017, 0.29, -0.38, -16.01, -269.14, 109.58, 94.89, 0.01, 0.01, 0.01, 0.01, -5.25, -9.22, 11.53, 0.6, 4.78, 2.12, -0.0006, -0.0018, -0.0016, -0.0005, -1.03, 0.16, 10.59, 4.79, 0.0017, 0.0048, -10.56, -1.68, -11.67, -0.82, -0.81, -3.4, 0.0044, 0.0086, 8.75, -2.5, 2.75, -38.0, -252.0, -217.0, 42.0, 19.23, 0.019, 0.019, 0.0035, 2.0, 13.58, 2.0, 0.0, -0.17, 3.33, -0.2, 0.7, 11.12, 44.78, -21.71, -0.0423, 0.0106, 38.13333333, 22.42333333, 38.13333333, -1.15, -2.69, -0.4, -0.0291, 0.0045, -0.004, -0.004, -0.004, -0.004, 0.64, 0.72, -0.205, 13.25, 5.0, 0.0, 2.53
2007-1-22, 2.85, -0.028, -0.028, -0.028, -0.028, 0.0012, 0.0018, 0.0024, -2.21, -1.45, 26.9, -26.5, -0.14, 0.39, -0.02, 0.562, 0.175, -264.03, 70.3, 0.063, 57.55, 16.57, -9.37, -22.32, -4.22, -9.76, -0.005, -0.005, 4.13, -4.24, -1.39, 0.98, -0.009000000000000001, 75.23, 0.95, 49.41, 0.32, 1.9, 8.1, 0.01, 0.26, -0.008, -0.008, -0.008, 0.034, 0.034, -0.36, 0.003, 0.003, 0.003, -230.0, -0.0045, -0.64, 0.22, -290.09, -173.36, -60.49, 92.24, 0.0, 0.0, 0.0, 0.0, 55.77, -2.4, -7.13, -1.85, 2.27, 2.55, 0.0007, -0.0003, 0.0003, -0.0003, 1.69, 0.59, 3.45, 3.56, 0.003, 0.0034, 6.95, -10.0, -1.7, 1.3, 1.2, 6.4, -0.0004, 0.0042, 1.0, -3.5, 0.5, 412.0, -184.0, 173.0, -32.0, 17.85, 0.009000000000000001, 0.009000000000000001, 0.0014, 24.29, 26.86, 24.29, -0.023, 0.46, -0.99, -0.3, 2.5, 0.495, -44.34, 7.87, -0.0019, -0.0401, 38.13333333, 22.42333333, 38.13333333, 1.67, 4.68, 3.73, 0.0428, 0.0129, 0.013, 0.013, 0.013, 0.013, -0.01, -0.12, 0.092, -6.0, -12.0, -0.015, 5.34
2007-1-23, -0.32, 0.004, 0.004, 0.004, 0.004, -0.0018, 0.0001, -0.002, 3.9, 1.81, -18.8, 37.8, 0.52, -0.44, 0.04, 0.433, 0.595, 954.17, 705.62, 0.015, -59.86, 12.02, 30.81, 29.96, 16.87, 21.49, 0.018000000000000002, 0.018000000000000002, -7.55, 4.12, -0.18, -4.79, 0.019, 100.98, 96.01, 101.2, 3.66, -0.52, -20.24, 0.595, 0.185, 0.014, 0.014, 0.014, -0.022, -0.022, 2.14, 0.006, 0.006, 0.006, 670.0, 0.0124, 1.39, 0.68, 127.74, 102.62, 113.74, 89.52, 0.0, 0.0, 0.0, 0.0, -52.97, -88.37, -1.6, -0.15, -0.03, 0.95, -0.0016, 0.0001, -0.0008, -0.0007, -0.74, 0.68, -0.89, 3.93, -0.0022, 0.0015, -7.2, 6.83, 0.66, 0.14, -0.07, -0.2, 0.0023, -0.0001, -7.5, -5.25, -6.75, -121.0, 613.0, 147.0, 368.0, 21.85, -0.028, -0.028, 0.0008, 9.48, -7.41, 9.48, -0.032, -4.05, 0.61, 3.8, -2.7, 0.495, 39.0, 58.65, 0.0116, -0.0052, 38.13333333, 22.42333333, 38.13333333, 4.68, 0.94, 0.05, -0.0051, 0.0361, -0.009000000000000001, -0.009000000000000001, -0.009000000000000001, -0.009000000000000001, 0.31, 0.31, 0.165, -5.0, -2.5, 0.01, -15.72
2007-1-24, 19.97, -0.004, -0.004, -0.004, -0.004, 0.0077, -0.0014, 0.0064, -4.56, -4.73, 9.2, -26.6, -0.02, 0.46, 0.46, 0.278, 0.39, 118.25, 249.9, -0.07, -8.38, -62.21, -54.53, 13.78, 20.98, 26.3, -0.023, -0.023, 5.04, -7.52, -0.06, 1.26, 0.065, 15.95, 106.79, 36.03, 7.11, 3.83, 0.34, 0.02, 0.25, -0.032, -0.032, -0.032, 0.049, 0.049, 4.07, -0.039, -0.039, -0.039, 350.0, 0.0717, 1.71, 1.61, 378.87, 377.16, -15.61, -79.59, 0.0, 0.0, 0.0, 0.0, 3.35, 56.64, -98.37, -2.2, 1.29, 3.24, 0.0023, -0.0014, 0.0004, -0.0009, 2.4, 0.41, 9.58, 12.48, 0.0038, -0.0029, 7.42, -7.37, 0.99, 1.28, 1.46, 8.9, 0.0057, 0.002, -0.25, 1.5, 5.75, 104.0, -259.0, -101.0, -102.0, -8.83, 0.015, 0.015, 0.0039, 10.47, 4.89, -4.91, -0.008, 1.83, -3.18, 0.05, 3.15, 0.15, 120.27, 9.59, -0.0047, 0.0099, -126.54, 77.12, 0.0, -8.68, -9.04, -6.66, 0.0679, 0.024, -0.049, -0.049, -0.049, -0.049, 0.08, -0.06, 0.32, 0.0, 10.5, 0.035, -27.63
