Date,KOSPI_Now
2015.1.2,10.85
2015.1.5,-10.69
2015.1.6,-33.3
2015.1.7,1.38
2015.1.8,20.82
2015.1.9,20.05
2015.1.12,-3.75
2015.1.13,-3.81
2015.1.14,-3.48
2015.1.15,0.48
2015.1.16,-26.01
2015.1.19,14.49
2015.1.20,15.69
2015.1.21,2.92
2015.1.22,-0.41
2015.1.23,15.27
2015.1.26,-0.41
2015.1.27,16.72
2015.1.28,9.18
2015.1.29,-10.56
2015.1.30,-1.76
2015.2.2,3.42
2015.2.3,-0.72
2015.2.4,10.83
2015.2.5,-9.95
2015.2.6,2.68
2015.2.9,-8.52
2015.2.10,-11.14
2015.2.11,9.84
2015.2.12,-4.07
2015.2.13,15.87
2015.2.16,0.73
2015.2.17,3.22
2015.2.23,6.94
2015.2.24,7.73
2015.2.25,14.35
2015.2.26,2.61
2015.2.27,-7.28
2015.3.2,11.01
2015.3.3,4.57
2015.3.4,-3.09
2015.3.5,0.09
2015.3.6,14.56
2015.3.9,-20.12
2015.3.10,-8.05
2015.3.11,-3.94
2015.3.12,-10.24
2015.3.13,15.2
2015.3.16,1.54
2015.3.17,42.58
2015.3.18,-1.46
2015.3.19,9.44
2015.3.20,-0.65
2015.3.23,-0.65
2015.3.24,4.78
2015.3.25,1.44
2015.3.26,-20.25
2015.3.27,-2.76
2015.3.30,10.24
2015.3.31,10.99
2015.4.1,-12.58
2015.4.2,0.62
2015.4.3,16.35
2015.4.6,1.01
2015.4.7,0.6
2015.4.8,12.23
2015.4.9,-0.39
2015.4.10,28.89
2015.4.13,11.16
2015.4.14,12.8
2015.4.15,8.24
2015.4.16,19.94
2015.4.17,3.6
2015.4.20,3.21
2015.4.21,-1.92
2015.4.22,-0.9
2015.4.23,29.52
2015.4.24,-13.61
2015.4.27,-2.26
2015.4.28,-9.87
2015.4.29,-5.04
2015.4.30,-15.46
2015.5.4,5.06
2015.5.6,-27.65
2015.5.7,-13.58
2015.5.8,-5.48
2015.5.11,11.86
2015.5.12,-0.61
2015.5.13,17.39
2015.5.14,6.17
2015.5.15,-13.83
2015.5.18,7.22
2015.5.19,7.13
2015.5.20,18.69
2015.5.21,-16.73
2015.5.22,23.29
2015.5.26,-2.6
2015.5.27,-36.0
2015.5.28,3.39
2015.5.29,3.91
2015.6.1,-12.43
2015.6.2,-23.73
2015.6.3,-15.48
2015.6.4,9.7
2015.6.5,-4.76
2015.6.8,-2.91
2015.6.9,-1.16
2015.6.10,-12.71
2015.6.11,5.29
2015.6.12,-4.44
2015.6.15,-9.85
2015.6.16,-13.6
2015.6.17,6.14
2015.6.18,7.02
2015.6.19,5.08
2015.6.22,8.2
2015.6.23,26.04
2015.6.24,4.33
2015.6.25,-0.47
2015.6.26,5.2
2015.6.29,-29.77
2015.6.30,13.71
2015.7.1,23.69
2015.7.2,9.44
2015.7.3,-2.92
2015.7.6,-50.48
2015.7.7,-13.64
2015.7.8,-24.08
2015.7.9,11.6
2015.7.10,3.36
2015.7.13,30.35
2015.7.14,-2.29
2015.7.15,13.68
2015.7.16,14.98
2015.7.17,-11.1
2015.7.20,-3.48
2015.7.21,10.31
2015.7.22,-18.89
2015.7.23,0.34
2015.7.24,-19.11
2015.7.27,-7.15
2015.7.28,0.29
2015.7.29,-1.48
2015.7.30,-18.59
2015.7.31,11.13
2015.8.3,-21.67
2015.8.4,19.5
2015.8.5,1.77
2015.8.6,-16.47
2015.8.7,-3.06
2015.8.10,-7.06
2015.8.11,-16.52
2015.8.12,-11.18
2015.8.13,7.99
2015.8.17,-14.94
2015.8.18,-12.26
2015.8.19,-16.88
2015.8.20,-24.83
2015.8.21,-38.48
2015.8.24,-46.26
2015.8.25,16.82
2015.8.26,47.46
2015.8.27,13.91
2015.8.28,29.67
2015.8.31,3.82
2015.9.1,-27.26
2015.9.2,0.99
2015.9.3,0.31
2015.9.4,-29.49
2015.9.7,-2.82
2015.9.8,-4.54
2015.9.9,55.52
2015.9.10,27.91
2015.9.11,-20.74
2015.9.14,-9.91
2015.9.15,6.1
2015.9.16,37.89
2015.9.17,1.04
2015.9.18,19.46
2015.9.21,-31.27
2015.9.22,17.38
2015.9.23,-37.42
2015.9.24,2.46
2015.9.25,-4.25
2015.9.30,19.96
2015.10.1,16.51
2015.10.2,-9.64
2015.10.5,8.57
2015.10.6,12.4
2015.10.7,15.19
2015.10.8,13.69
2015.10.12,2.1
2015.10.13,-2.58
2015.10.14,-9.5
2015.10.15,23.72
