Date,KOSPI_Now,filter_smo,wrapper_smo,filter_linear,wrapper_linear,filter_mlp,wrapper_mlp,filter_gaussian,wrapper_gaussian
2012.12.28,1997.05,        497        1.705        2.166       0.4609,        497        1.705       1.3439      -0.3611,        497        1.705       1.9936       0.2886,        497        1.705       0.4444      -1.2607,        497        1.705        0.873       -0.832,        497        1.705       1.0976      -0.6074,        497        1.705        1.367       -0.338,        497        1.705       1.1213      -0.5837
2013.1.2,2031.1,        498      -0.5756      -0.2671       0.3085,        498      -0.5756      -0.0441       0.5314,        498      -0.5756       0.3623       0.9378,        498      -0.5756       0.0392       0.6148,        498      -0.5756       0.5241       1.0996,        498      -0.5756      -3.7333      -3.1577,        498      -0.5756       0.5556       1.1311,        498      -0.5756       0.5773       1.1529
2013.1.3,2019.41,        499      -0.3699      -0.1696       0.2003,        499      -0.3699      -0.2802       0.0897,        499      -0.3699       0.1289       0.4988,        499      -0.3699      -0.0268       0.3431,        499      -0.3699      -1.1558      -0.7859,        499      -0.3699       0.1226       0.4925,        499      -0.3699       0.1396       0.5095,        499      -0.3699       0.1984       0.5683
2013.1.4,2011.94,        500      -0.0343      -0.0847      -0.0504,        500      -0.0343       -0.671      -0.6367,        500      -0.0343      -0.2088      -0.1745,        500      -0.0343       0.1833       0.2176,        500      -0.0343       0.6915       0.7258,        500      -0.0343      -0.7662      -0.7319,        500      -0.0343       0.1448       0.1791,        500      -0.0343       0.0737        0.108
2013.1.7,2011.25,        501      -0.6618      -0.8456      -0.1838,        501      -0.6618      -1.0394      -0.3776,        501      -0.6618      -0.7458      -0.0841,        501      -0.6618      -0.6734      -0.0116,        501      -0.6618      -0.2057       0.4561,        501      -0.6618      -1.4687      -0.8069,        501      -0.6618      -0.3754       0.2864,        501      -0.6618      -0.3455       0.3163
2013.1.8,1997.94,        502      -0.3068        0.637       0.9438,        502      -0.3068       0.6874       0.9942,        502      -0.3068       0.4588       0.7656,        502      -0.3068       0.2868       0.5936,        502      -0.3068       1.3635       1.6703,        502      -0.3068       1.8647       2.1715,        502      -0.3068        0.158       0.4648,        502      -0.3068       0.3649       0.6717
2013.1.9,1991.81,        503       0.7526      -0.1148      -0.8674,        503       0.7526      -0.3112      -1.0638,        503       0.7526       0.0176       -0.735,        503       0.7526      -0.3787      -1.1313,        503       0.7526       -0.146      -0.8986,        503       0.7526      -0.0059      -0.7585,        503       0.7526       0.2887      -0.4639,        503       0.7526       0.1833      -0.5693
2013.1.10,2006.8,        504      -0.5048      -0.2739       0.2309,        504      -0.5048      -0.2227       0.2821,        504      -0.5048      -0.0716       0.4332,        504      -0.5048       0.4364       0.9412,        504      -0.5048       0.5207       1.0255,        504      -0.5048       0.0059       0.5107,        504      -0.5048       0.2297       0.7345,        504      -0.5048        0.323       0.8278
2013.1.11,1996.67,        505       0.5194       1.0757       0.5563,        505       0.5194       0.9757       0.4563,        505       0.5194       1.0867       0.5673,        505       0.5194       1.2417       0.7223,        505       0.5194      -0.2379      -0.7573,        505       0.5194      -0.6773      -1.1967,        505       0.5194       0.1884       -0.331,        505       0.5194       0.1714      -0.3479
2013.1.14,2007.04,        506      -1.1609      -0.9599       0.2011,        506      -1.1609      -0.5127       0.6482,        506      -1.1609      -0.8873       0.2736,        506      -1.1609      -0.4854       0.6755,        506      -1.1609      -1.4844      -0.3235,        506      -1.1609      -1.3109        -0.15,        506      -1.1609      -0.1642       0.9967,        506      -1.1609      -0.0213       1.1396
2013.1.15,1983.74,        507      -0.3171      -0.0488       0.2683,        507      -0.3171      -0.5272      -0.2101,        507      -0.3171      -0.1782       0.1389,        507      -0.3171      -0.7787      -0.4616,        507      -0.3171      -0.2332       0.0839,        507      -0.3171      -0.9227      -0.6056,        507      -0.3171      -0.3093       0.0077,        507      -0.3171       -0.317       0.0001
2013.1.16,1977.45,        508      -0.1608      -0.0754       0.0854,        508      -0.1608       0.0051       0.1659,        508      -0.1608       0.3504       0.5112,        508      -0.1608      -0.5292      -0.3684,        508      -0.1608      -0.2938       -0.133,        508      -0.1608       0.2547       0.4155,        508      -0.1608       0.1193       0.2801,        508      -0.1608       0.2208       0.3817
2013.1.17,1974.27,        509       0.6878       0.7628       0.0749,        509       0.6878       0.7818        0.094,        509       0.6878       1.0766       0.3887,        509       0.6878       2.7303       2.0424,        509       0.6878       0.6912       0.0033,        509       0.6878       1.7209        1.033,        509       0.6878       0.5755      -0.1123,        509       0.6878       0.5125      -0.1754
2013.1.18,1987.85,        510      -0.0498      -0.5044      -0.4546,        510      -0.0498      -0.0629      -0.0131,        510      -0.0498      -0.7713      -0.7215,        510      -0.0498      -1.5831      -1.5333,        510      -0.0498      -1.0144      -0.9646,        510      -0.0498      -1.2262      -1.1764,        510      -0.0498      -0.2806      -0.2308,        510      -0.0498      -0.3851      -0.3353
2013.1.21,1986.86,        511       0.4862       0.0471      -0.4391,        511       0.4862       0.1653      -0.3209,        511       0.4862       0.3076      -0.1786,        511       0.4862       1.2973       0.8111,        511       0.4862       1.0765       0.5903,        511       0.4862      -0.8404      -1.3266,        511       0.4862      -0.0853      -0.5715,        511       0.4862      -0.1604      -0.6466
2013.1.22,1996.52,        512      -0.8069      -0.2488       0.5581,        512      -0.8069       -0.194       0.6129,        512      -0.8069      -0.2126       0.5943,        512      -0.8069      -0.3197       0.4873,        512      -0.8069      -0.4745       0.3324,        512      -0.8069       -1.043      -0.2361,        512      -0.8069      -0.0941       0.7128,        512      -0.8069      -0.2111       0.5958
