Date,KOSPI_Now,filter_smo,wrapper_smo,filter_linear,wrapper_linear,filter_mlp,wrapper_mlp,filter_gaussian,wrapper_gaussian
2014.12.30,1915.59,        494       0.5664        0.027      -0.5394,        494       0.5664       0.9996       0.4332,        494       0.5664       0.1111      -0.4554,        494       0.5664       0.6584        0.092,        494       0.5664       -0.144      -0.7104,        494       0.5664       2.4044        1.838,        494       0.5664      -0.0713      -0.6377,        494       0.5664       0.0049      -0.5615
2015.1.2,1926.44,        495      -0.5549      -0.4051       0.1498,        495      -0.5549       -0.595      -0.0401,        495      -0.5549      -0.3877       0.1672,        495      -0.5549      -0.6685      -0.1136,        495      -0.5549      -1.4285      -0.8736,        495      -0.5549      -0.3628       0.1921,        495      -0.5549      -0.4548       0.1001,        495      -0.5549      -0.5721      -0.0172
2015.1.5,1915.75,        496      -1.7382      -1.4212        0.317,        496      -1.7382       -1.497       0.2413,        496      -1.7382      -1.6015       0.1367,        496      -1.7382      -1.4469       0.2913,        496      -1.7382      -2.3949      -0.6567,        496      -1.7382      -0.7409       0.9974,        496      -1.7382      -0.7536       0.9846,        496      -1.7382      -0.5573       1.1809
2015.1.6,1882.45,        497       0.0733      -0.6967        -0.77,        497       0.0733      -0.1277       -0.201,        497       0.0733      -0.7021      -0.7755,        497       0.0733       0.4241       0.3507,        497       0.0733      -0.3263      -0.3996,        497       0.0733       0.0099      -0.0634,        497       0.0733      -0.1957       -0.269,        497       0.0733      -0.0748      -0.1481
2015.1.7,1883.83,        498       1.1052       0.3669      -0.7383,        498       1.1052       0.6998      -0.4054,        498       1.1052       0.3656      -0.7396,        498       1.1052        0.748      -0.3572,        498       1.1052       0.0662       -1.039,        498       1.1052      -0.9112      -2.0164,        498       1.1052       0.4893      -0.6159,        498       1.1052       0.6249      -0.4802
2015.1.8,1904.65,        499       1.0527       0.9092      -0.1435,        499       1.0527       0.3414      -0.7113,        499       1.0527       0.8408      -0.2119,        499       1.0527      -0.1455      -1.1982,        499       1.0527       -1.239      -2.2916,        499       1.0527      -1.0502      -2.1029,        499       1.0527        0.233      -0.8197,        499       1.0527       0.3641      -0.6886
2015.1.9,1924.7,        500      -0.1948      -0.4872      -0.2923,        500      -0.1948      -0.5278      -0.3329,        500      -0.1948       -0.611      -0.4162,        500      -0.1948      -0.9686      -0.7738,        500      -0.1948      -2.2197      -2.0248,        500      -0.1948      -0.6139       -0.419,        500      -0.1948      -0.2566      -0.0618,        500      -0.1948      -0.1682       0.0267
2015.1.12,1920.95,        501      -0.1983      -0.1261       0.0723,        501      -0.1983      -0.4171      -0.2188,        501      -0.1983      -0.1708       0.0276,        501      -0.1983      -1.0574      -0.8591,        501      -0.1983      -1.6029      -1.4046,        501      -0.1983       0.2586        0.457,        501      -0.1983       0.0349       0.2333,        501      -0.1983      -0.0431       0.1553
2015.1.13,1917.14,        502      -0.1815      -0.6705      -0.4889,        502      -0.1815      -0.9971      -0.8156,        502      -0.1815      -0.3477      -0.1662,        502      -0.1815      -0.7552      -0.5737,        502      -0.1815       -0.298      -0.1165,        502      -0.1815       0.7794       0.9609,        502      -0.1815       0.0129       0.1944,        502      -0.1815      -0.1828      -0.0013
2015.1.14,1913.66,        503       0.0251       0.5298       0.5047,        503       0.0251      -3.2317      -3.2568,        503       0.0251       0.7005       0.6754,        503       0.0251      -2.8974      -2.9225,        503       0.0251       0.0475       0.0224,        503       0.0251       1.8756       1.8506,        503       0.0251       0.0673       0.0423,        503       0.0251      -0.0671      -0.0922
2015.1.15,1914.14,        504      -1.3588      -0.1946       1.1642,        504      -1.3588       5.8397       7.1985,        504      -1.3588      -0.0233       1.3355,        504      -1.3588       4.8995       6.2583,        504      -1.3588      -2.0348       -0.676,        504      -1.3588       2.2563       3.6151,        504      -1.3588       0.0689       1.4278,        504      -1.3588       0.1061        1.465
2015.1.16,1888.13,        505       0.7674        0.789       0.0216,        505       0.7674        0.606      -0.1614,        505       0.7674       0.8797       0.1123,        505       0.7674       0.0194       -0.748,        505       0.7674       0.1914       -0.576,        505       0.7674       2.1402       1.3728,        505       0.7674       0.5202      -0.2472,        505       0.7674       0.4286      -0.3388
2015.1.19,1902.62,        506       0.8247       0.3109      -0.5137,        506       0.8247       1.3349       0.5103,        506       0.8247       0.4509      -0.3738,        506       0.8247        1.639       0.8143,        506       0.8247      -0.5317      -1.3564,        506       0.8247       0.5987      -0.2259,        506       0.8247       0.2831      -0.5415,        506       0.8247       0.1371      -0.6875
2015.1.20,1918.31,        507       0.1522       0.3774       0.2252,        507       0.1522        1.432       1.2798,        507       0.1522       0.3603       0.2081,        507       0.1522       1.8069       1.6547,        507       0.1522       1.1656       1.0133,        507       0.1522       2.3055       2.1533,        507       0.1522       0.1492       -0.003,        507       0.1522        0.048      -0.1042
2015.1.21,1921.23,        508      -0.0213       0.4968       0.5181,        508      -0.0213      -0.1032      -0.0818,        508      -0.0213       0.6577       0.6791,        508      -0.0213      -0.7898      -0.7684,        508      -0.0213       0.1284       0.1498,        508      -0.0213       -0.959      -0.9377,        508      -0.0213       0.2813       0.3027,        508      -0.0213       0.1579       0.1793
2015.1.22,1920.82,        509        0.795       0.5893      -0.2057,        509        0.795      -0.2535      -1.0484,        509        0.795       0.5229      -0.2721,        509        0.795      -0.1567      -0.9517,        509        0.795      -1.0901       -1.885,        509        0.795       0.3295      -0.4655,        509        0.795       0.5934      -0.2016,        509        0.795       0.5492      -0.2457
2015.1.23,1936.09,        510      -0.0212       -0.164      -0.1429,        510      -0.0212       0.1748        0.196,        510      -0.0212      -0.2303      -0.2091,        510      -0.0212       0.5015       0.5227,        510      -0.0212      -3.6438      -3.6226,        510      -0.0212      -1.5197      -1.4986,        510      -0.0212       0.0607       0.0819,        510      -0.0212      -0.0132        0.008
2015.1.26,1935.68,        511       0.8638        0.342      -0.5218,        511       0.8638       0.1608       -0.703,        511       0.8638       0.4669      -0.3969,        511       0.8638       0.6005      -0.2632,        511       0.8638       0.0799      -0.7839,        511       0.8638       0.3236      -0.5402,        511       0.8638       0.2675      -0.5963,        511       0.8638       0.2321      -0.6317
2015.1.27,1952.4,        512       0.4702       0.1741      -0.2961,        512       0.4702       0.9408       0.4706,        512       0.4702        0.236      -0.2342,        512       0.4702       0.2822       -0.188,        512       0.4702       0.4059      -0.0643,        512       0.4702      -1.5798        -2.05,        512       0.4702      -0.0352      -0.5053,        512       0.4702      -0.1118       -0.582
2015.1.28,1961.58,        513      -0.5383      -0.2616       0.2767,        513      -0.5383      -0.9468      -0.4085,        513      -0.5383      -0.3706       0.1677,        513      -0.5383      -0.9092      -0.3708,        513      -0.5383      -1.6373       -1.099,        513      -0.5383      -0.1501       0.3882,        513      -0.5383      -0.2601       0.2782,        513      -0.5383      -0.6071      -0.0687
2015.1.29,1951.02,        514      -0.0902       0.7226       0.8128,        514      -0.0902       0.1643       0.2545,        514      -0.0902       1.0221       1.1123,        514      -0.0902       0.0927       0.1829,        514      -0.0902       6.3785       6.4687,        514      -0.0902       -2.381      -2.2908,        514      -0.0902       0.3759       0.4661,        514      -0.0902       0.0715       0.1617
2015.1.30,1949.26,        515       0.1755      -0.0967      -0.2721,        515       0.1755      -0.5107      -0.6862,        515       0.1755      -0.1465       -0.322,        515       0.1755      -0.2564      -0.4319,        515       0.1755       0.4097       0.2342,        515       0.1755      -2.1107      -2.2861,        515       0.1755      -0.1617      -0.3371,        515       0.1755      -0.0423      -0.2177
2015.2.2,1952.68,        516      -0.0369        0.371       0.4079,        516      -0.0369       0.6974       0.7342,        516      -0.0369       0.6115       0.6484,        516      -0.0369       1.1694       1.2063,        516      -0.0369      -0.3881      -0.3512,        516      -0.0369       1.6861        1.723,        516      -0.0369       0.3554       0.3923,        516      -0.0369       0.5591       0.5959
2015.2.3,1951.96,        517       0.5548       0.0546      -0.5003,        517       0.5548       0.5522      -0.0026,        517       0.5548       0.0958       -0.459,        517       0.5548       0.5246      -0.0302,        517       0.5548      -0.6143      -1.1692,        517       0.5548      -3.0462      -3.6011,        517       0.5548       0.0334      -0.5214,        517       0.5548       0.2219      -0.3329
2015.2.4,1962.79,        518      -0.5069      -0.4854       0.0216,        518      -0.5069      -1.3559       -0.849,        518      -0.5069      -0.5163      -0.0094,        518      -0.5069      -1.6048      -1.0979,        518      -0.5069       0.5716       1.0786,        518      -0.5069      -0.4137       0.0932,        518      -0.5069      -0.2298       0.2771,        518      -0.5069      -0.3471       0.1599
