Date,KOSPI_Now,filter_smo,wrapper_smo,filter_linear,wrapper_linear,filter_mlp,wrapper_mlp,filter_gaussian,wrapper_gaussian
2010.12.30,2051,        505       0.9303       0.5449      -0.3854,        505       0.9303       1.0646       0.1343,        505       0.9303       0.5715      -0.3588,        505       0.9303       0.4642      -0.4661,        505       0.9303       0.2613       -0.669,        505       0.9303        0.058      -0.8723,        505       0.9303       0.4369      -0.4934,        505       0.9303       0.6539      -0.2764
2011.1.3,2070.08,        506       0.7275      -0.0514      -0.7789,        506       0.7275       0.8932       0.1657,        506       0.7275      -0.1487      -0.8762,        506       0.7275       0.7178      -0.0097,        506       0.7275       0.3117      -0.4158,        506       0.7275       0.7785        0.051,        506       0.7275        0.296      -0.4315,        506       0.7275       0.8428       0.1153
2011.1.4,2085.14,        507      -0.1242       0.3568        0.481,        507      -0.1242       0.3359       0.4601,        507      -0.1242       0.0328        0.157,        507      -0.1242       -0.157      -0.0327,        507      -0.1242       0.5078       0.6321,        507      -0.1242       0.7843       0.9085,        507      -0.1242       0.0498        0.174,        507      -0.1242       0.3406       0.4649
2011.1.5,2082.55,        508      -0.2372      -0.3011      -0.0639,        508      -0.2372      -0.2428      -0.0056,        508      -0.2372      -0.0447       0.1925,        508      -0.2372      -0.5306      -0.2934,        508      -0.2372       0.4676       0.7048,        508      -0.2372       0.1938       0.4311,        508      -0.2372       0.4381       0.6753,        508      -0.2372       0.4685       0.7058
2011.1.6,2077.61,        509       0.4135      -0.6496       -1.063,        509       0.4135       0.6413       0.2278,        509       0.4135       -0.331      -0.7445,        509       0.4135        1.075       0.6615,        509       0.4135      -0.1867      -0.6002,        509       0.4135       0.6769       0.2634,        509       0.4135      -0.1568      -0.5702,        509       0.4135       0.3944      -0.0191
2011.1.7,2086.2,        510      -0.2584      -1.5568      -1.2984,        510      -0.2584      -1.0354      -0.7771,        510      -0.2584      -1.0809      -0.8226,        510      -0.2584      -0.6681      -0.4097,        510      -0.2584      -1.6915      -1.4332,        510      -0.2584      -0.8757      -0.6173,        510      -0.2584        -0.59      -0.3316,        510      -0.2584      -0.8967      -0.6383
2011.1.10,2080.81,        511       0.3609       0.1403      -0.2206,        511       0.3609      -0.5645      -0.9254,        511       0.3609       0.2822      -0.0787,        511       0.3609      -0.1518      -0.5127,        511       0.3609       0.6959        0.335,        511       0.3609       0.0316      -0.3294,        511       0.3609       0.0778      -0.2831,        511       0.3609      -0.0224      -0.3834
2011.1.11,2088.32,        512       0.3175       0.4849       0.1675,        512       0.3175       0.2861      -0.0313,        512       0.3175       0.3513       0.0338,        512       0.3175       0.1039      -0.2136,        512       0.3175       1.6259       1.3085,        512       0.3175       0.7352       0.4177,        512       0.3175       0.8499       0.5324,        512       0.3175       0.4796       0.1621
2011.1.12,2094.95,        513      -0.2611        0.735       0.9961,        513      -0.2611       1.0041       1.2652,        513      -0.2611       0.6155       0.8766,        513      -0.2611      -0.1679       0.0932,        513      -0.2611       0.8196       1.0808,        513      -0.2611       0.9656       1.2267,        513      -0.2611       0.6108       0.8719,        513      -0.2611       0.5743       0.8354
2011.1.13,2089.48,        514       0.8945      -0.6735       -1.568,        514       0.8945        0.667      -0.2275,        514       0.8945      -0.7057      -1.6002,        514       0.8945       0.5706      -0.3239,        514       0.8945      -0.0502      -0.9447,        514       0.8945       0.2073      -0.6872,        514       0.8945      -0.2137      -1.1082,        514       0.8945       0.1939      -0.7005
2011.1.14,2108.17,        515      -0.3947      -0.2161       0.1786,        515      -0.3947      -0.4494      -0.0548,        515      -0.3947       0.0123        0.407,        515      -0.3947      -0.6838      -0.2891,        515      -0.3947       0.3842       0.7788,        515      -0.3947      -0.4481      -0.0534,        515      -0.3947       0.1397       0.5344,        515      -0.3947      -0.1496        0.245
2011.1.17,2099.85,        516      -0.1605      -0.1046       0.0559,        516      -0.1605       -0.133       0.0275,        516      -0.1605       0.1412       0.3016,        516      -0.1605      -0.3673      -0.2069,        516      -0.1605       0.2878       0.4483,        516      -0.1605       -0.626      -0.4655,        516      -0.1605       0.2391       0.3996,        516      -0.1605       -0.189      -0.0285
2011.1.18,2096.48,        517       0.9163       0.5476      -0.3687,        517       0.9163       1.0098       0.0936,        517       0.9163       0.5097      -0.4066,        517       0.9163       0.7927      -0.1236,        517       0.9163       0.5444      -0.3719,        517       0.9163       1.1553        0.239,        517       0.9163       0.2799      -0.6364,        517       0.9163       0.8532      -0.0631
2011.1.19,2115.69,        518      -0.4268      -1.7626      -1.3358,        518      -0.4268      -0.8641      -0.4373,        518      -0.4268      -1.9627      -1.5359,        518      -0.4268      -1.0524      -0.6256,        518      -0.4268      -0.1097       0.3171,        518      -0.4268      -1.1999      -0.7731,        518      -0.4268      -0.8687      -0.4419,        518      -0.4268      -0.8698       -0.443
2011.1.20,2106.66,        519       -1.744      -0.9589       0.7851,        519       -1.744      -0.0481       1.6959,        519       -1.744      -0.3874       1.3566,        519       -1.744      -0.0579       1.6861,        519       -1.744       0.6792       2.4232,        519       -1.744       0.7033       2.4473,        519       -1.744      -0.0183       1.7257,        519       -1.744        -0.32        1.424
2011.1.21,2069.92,        520       0.5913       0.2538      -0.3375,        520       0.5913      -0.4688      -1.0601,        520       0.5913       0.7134        0.122,        520       0.5913      -0.0327       -0.624,        520       0.5913       1.0969       0.5055,        520       0.5913      -1.3665      -1.9578,        520       0.5913      -0.0338      -0.6251,        520       0.5913      -0.0737      -0.6651
2011.1.24,2082.16,        521       0.2166      -0.0049      -0.2215,        521       0.2166      -0.0086      -0.2252,        521       0.2166       0.0397      -0.1769,        521       0.2166      -0.1744       -0.391,        521       0.2166        0.206      -0.0106,        521       0.2166      -0.4436      -0.6602,        521       0.2166       0.0425      -0.1741,        521       0.2166       0.0271      -0.1895
2011.1.25,2086.67,        522       1.1401       0.0665      -1.0736,        522       1.1401       0.0548      -1.0853,        522       1.1401      -0.2338      -1.3739,        522       1.1401      -0.9123      -2.0524,        522       1.1401      -0.6863      -1.8264,        522       1.1401      -0.8039       -1.944,        522       1.1401       0.3548      -0.7853,        522       1.1401       0.2107      -0.9294
2011.1.26,2110.46,        523       0.2156        0.814       0.5984,        523       0.2156       0.4658       0.2502,        523       0.2156        0.299       0.0834,        523       0.2156       0.4991       0.2835,        523       0.2156       0.9653       0.7497,        523       0.2156       0.3637       0.1481,        523       0.2156       0.3488       0.1332,        523       0.2156       0.5052       0.2896
2011.1.27,2115.01,        524      -0.3376      -0.7352      -0.3976,        524      -0.3376       0.0247       0.3623,        524      -0.3376      -0.2579       0.0797,        524      -0.3376      -0.1335       0.2041,        524      -0.3376      -0.3774      -0.0398,        524      -0.3376       0.0643       0.4019,        524      -0.3376      -0.2238       0.1138,        524      -0.3376      -0.1218       0.2158
